,113
limited,10
practicability,5
writings,1
becomes,1
secondly,1
expostulation,2
directions,1
dissolution,1
personally,1
desirable,3
colleges,1
four,5
facilities,5
consists,3
captain,1
integrity,3
assembled,8
aggression,1
increase,26
effectually,6
granting,1
obstructions,2
paris,2
pensions,1
james,1
containing,1
presents,1
list,1
investigation,1
indicate,2
whatsoever,2
under,73
lord,1
pride,3
worth,1
sinking,2
applied,12
adverting,1
desired,3
rise,1
compacts,1
agitations,1
every,31
gratification,2
thriving,1
affect,2
bringing,4
advices,1
school,6
contemplated,4
obstruction,1
clothed,1
cause,20
companies,1
extinguishment,2
relics,1
succession,1
murders,1
petersburg,1
triumph,3
enjoy,4
ornamental,1
charter,1
force,40
specially,1
infancy,4
consistent,2
welfare,16
estimates,5
direct,7
elegant,1
second,10
lubeck,1
rigorous,2
subordinate,5
estimated,13
even,27
established,12
allowances,2
hide,1
preferences,1
deliberate,7
solemn,4
bounties,4
panama,6
unwieldy,1
contributed,6
liberty,13
victims,1
lights,1
above,6
frank,2
ebbs,1
new,24
net,1
increasing,3
ever,21
consisting,2
inducement,1
deemed,5
million,8
hero,1
avert,2
whose,9
men,16
kindred,1
here,5
met,2
protection,15
china,1
represented,7
path,1
obtained,8
derivable,1
property,15
disclaiming,1
rests,1
pretensions,2
leaves,2
changed,1
envoy,1
approaches,1
reports,13
controversy,1
credit,2
theoretic,1
abolition,2
permit,3
military,35
stipulated,3
settled,5
intrigue,1
hyannis,1
secure,7
campaign,1
explained,1
healthful,1
feelings,4
brought,6
remnant,2
moral,6
glance,1
total,5
credence,1
receivable,1
spoke,1
would,61
army,15
compensation,2
marine,4
indians,11
exhort,1
arms,1
garners,1
panoply,1
bays,1
call,3
therefore,8
recommend,8
survive,1
liberally,1
until,5
breathe,1
patronage,2
th,11
successful,6
propositions,2
ascribe,1
wars,10
aware,1
exuberantly,1
connecticut,1
menaced,1
former,7
vicissitude,2
continual,4
allies,1
coextensive,1
tariff,6
supplemental,1
circumstances,6
me,15
morally,1
fifths,1
disguised,1
rights,26
pursue,3
interposition,2
work,4
refusing,1
worn,1
ere,1
maintainedamong,1
mechanic,1
appendage,1
revenues,3
my,37
example,7
fortress,1
merchant,2
transition,2
discoverieson,1
valedictory,1
estate,1
give,7
diminished,3
levied,2
assent,1
involve,1
indies,2
want,5
mail,10
keep,2
crimes,1
advancing,3
absolute,3
end,8
provide,9
topographical,2
returning,3
how,6
louisville,1
allied,1
enquire,1
monroe,1
answer,4
ordinary,5
beach,1
commencing,3
$during,1
description,2
arrearages,1
reconciled,1
after,28
delicacy,2
coffers,2
customs,2
shores,7
unguarded,1
lay,2
destined,3
retain,1
inconveniences,2
president,6
law,20
impost,5
stimulates,1
purchase,1
remuneration,1
attempt,3
splendid,2
effective,12
amid,1
youths,2
grant,4
acknowledged,6
discontinued,2
greek,1
complexity,1
maintain,5
ultimate,2
enter,2
floridas,2
operate,3
order,5
restriction,3
executed,4
infested,1
office,9
devote,1
wound,1
over,22
sheltering,1
satisfied,1
deducted,1
london,2
unsullied,1
dwelling,2
rewarded,1
before,23
remainder,2
fit,1
personal,6
heretofore,8
fix,4
occupations,1
$by,1
expectations,3
exhibits,4
destroyed,2
narrowest,1
matured,4
ceding,1
enlisted,1
confidently,3
transgressors,1
then,14
them,122
affected,3
combination,1
weakness,1
safe,3
commemorate,1
potentates,1
squadrons,4
effects,3
they,103
indulge,5
interrupt,1
felicitous,1
bank,1
bread,1
gloom,2
netherlands,11
rocky,1
arrested,1
benevolent,1
spotless,1
privilege,1
victory,1
profusely,1
each,31
linked,1
went,2
inventors,3
piratical,1
side,3
lasting,3
break-water,1
interruption,3
successively,2
suspended,2
independent,9
councils,2
series,3
innocent,1
principles,32
prolonged,1
contracting,3
taught,3
combining,2
navy,32
exigencies,2
borne,1
toleration,1
merchants,1
god,1
pensacola,2
excepting,2
vessels,24
strangers,2
laid,11
safety,3
multiply,1
affords,2
cheerfully,2
forth,7
independence,27
foundation,1
turning,2
here-after,1
assured,1
city,6
eternal,1
little,17
free,10
standard,5
aboriginal,3
management,4
formation,9
faculties,4
seventeenth,1
inofficially,1
crowned,4
estimate,10
knit,1
universally,2
ordnance,1
delight,1
perform,1
parricide,1
appendages,1
days,4
caprice,1
shipped,1
disturbed,2
spirit[america's],1
incorporated,1
signature,1
repealed,1
cooperating,1
durable,1
separable,1
already,18
features,1
researches,3
consentaneous,1
primary,1
visited,1
channels,3
production,1
adopted,6
another,16
grain,2
difficulty,4
withheld,1
exchequer,1
service,23
line-of-battle,1
engagement,2
returns,7
needed,1
confirming,1
compromise,4
too,8
agricultural,2
bulkier,1
dwell,1
john,1
ranging,1
discussion,6
reparation,3
murder,2
intestine,1
conciliated,1
happily,1
surmounting,1
villager,1
bounty,5
serve,3
took,1
negotiating,1
wisdom,6
retained,2
somewhat,1
canvas,1
swells,1
practiced,2
tacubaya,1
peculiar,3
distance,3
anxiety,1
exultation,3
frankly,1
nominate,1
approximations,1
enabled,3
scenes,1
nations,73
preparation,5
matter,1
titles,3
friend,3
deserving,2
feeling,2
powers,34
colonizing,3
superadded,1
pointed,1
failing,1
encumbered,1
enforcement,1
respecting,2
boston,1
mind,8
raw,1
manner,6
industrious,1
impelled,1
seen,10
seem,3
regulate,4
seek,1
expeditions,2
affairs,9
strength,1
wholesome,1
laden,2
convenient,2
latter,4
cope,1
-,3
impotent,1
sound,1
recommended,11
subjects,12
absorbed,2
forces,2
academy,8
transmit,1
atkinson,1
propitious,2
conducive,2
inured,1
exactly,1
committing,2
lion,1
shall,36
replenished,2
object,9
indemnification,1
benefactions,2
extending,5
regular,3
mouth,2
letter,3
claims,19
alabama,3
manifested,6
mitigate,1
advantageous,3
characterizes,1
prevails,1
incompatible,2
flow,1
inferred,2
treaty,37
swamp,1
orderly,1
points,4
triumphs,1
principle,20
enterprise,3
irresistible,1
detriment,1
entertaining,1
consumer,1
sum,22
confederation,5
reserve,1
decidedly,1
incorporate,1
sauks,1
congreve,1
kenhawa,1
revolves,1
jurisdiction,3
precarious,1
nominated,1
brief,1
treaties,26
colors,1
chartered,1
supplied,1
participate,2
earth,20
arrive,1
enjoyed,6
capitol,2
lessons,2
orleans,1
copy,1
proposed,6
became,2
guidance,1
debts,4
endeavored,1
institution,9
reflow,1
hudsons,1
deepest,4
rich,1
pursuing,1
$it,1
adequate,10
rice,1
unpropitious,3
emphatically,1
predecessor,12
do,3
exports,8
remotest,2
hostility,4
conduct,1
perceive,1
yielded,2
christopher,1
altogether,6
report,33
happiest,1
tribute,8
comply,1
countries,16
chesapeake,6
books,2
acknowledgments,1
contrast,1
exacted,2
adherence,1
abodes,1
squadron,3
ruins,2
urgency,2
secretary,22
erroneous,3
unworthy,1
fullness,2
reference,5
expediency,7
consummation,4
sharpens,1
alterations,1
observed,2
decided,2
result,20
discussions,3
fain,1
best,5
subject,29
brazil,5
said,1
thralldom,1
inappropriate,1
rare,1
away,7
interdiction,4
calamity,1
injuries,3
completion,3
protected,1
humankind,1
teaching,1
cooperation,3
drawn,2
pirate,1
discovery,3
preserve,7
profitable,3
we,96
never,13
terms,14
extend,3
nature,13
were,61
however,18
authorizing,4
retirement,1
wear,1
extent,14
defiance,2
motto,1
debt,35
improve,4
suggested,3
received,26
protect,1
embarked,1
assistants,1
irregular,1
reported,1
country,66
ill,1
cup,1
movement,1
against,21
creditors,1
improving,1
exceeds,2
distinction,1
expense,12
adapted,13
negotiation,18
and,1239
alternate,2
exemplary,1
very,13
spear,1
appeared,2
had,82
vain,3
excess,3
exercising,1
active,4
portsmouth,1
springs,1
trust,8
ether,1
gratitude,8
light,6
proceeded,3
unhappily,1
recur,2
basis,3
union,76
claiming,1
three,12
been,361
particulars,2
commission,6
much,17
communion,1
interest,43
expected,15
thrice,1
duties,56
defray,5
vigilance,2
life,10
