foul,1
four,21
prices,1
hanging,2
aggression,1
looking,3
granting,2
pre-eminence,2
originality,2
refunding,1
lord,5
appropriation,12
bringing,9
disturb,4
prize,3
question---the,1
succession,7
immunities,3
straight,3
matter---to,1
representatives---being,1
cordially,2
elegant,3
second,14
sustaining,1
ruthless,4
thunder,1
contributed,2
subject--a,1
localized,1
increasing,11
admiral,1
shocks,2
gentiles,2
offenses,3
here,55
reported,8
china,6
substance,9
elaborate,1
deferring,2
reports,7
controversy,27
they---establish,1
military,37
criticism,2
appropriately,2
divide,8
brought,37
forbore,2
opponents,13
spoke,7
tardiness,2
insecurity,1
impartiality,1
inevitable,1
occupying,1
therefore,35
until,16
menaces,1
successful,10
brings,5
hereby,2
canonized,2
hurt,2
menaced,2
midst,4
hold,30
mentionedwhat,1
circumstances,16
pursue,1
famed,2
accomplishment,1
revenues,3
example,8
unjust,7
household,2
organized,22
currency,7
caution,1
want,11
absolute,7
hog,4
unpaid,2
hon,2
feature,1
how,56
hot,4
significance,3
preferable,1
twenty-third,3
shores,1
wrong,41
types,2
provision-that,1
sioux,1
effective,10
scourge,1
revolt,5
lieutenant-general,2
keeps,2
democratic,1
wing,2
restriction,21
freedom---the,1
concurrence,3
confederate,2
fidelity,3
wrought,1
web-feet,2
fit,9
unforeseen,2
heretofore,17
fix,4
occupations,1
secede,6
narrowest,2
matured,3
easier,7
commemorate,2
effects,3
actnow,2
undeveloped,1
silver,1
not---cannot,1
expectancy,1
preceded,2
financial,7
whig,5
substantially,9
state---that,1
message,9
borne,4
toleration,2
sailor---that,1
excepting,3
mason,1
encourage,1
adapt,1
cheerfully,5
misrepresentations,1
foundation,4
assured,2
wavered,2
threatened,3
fugitive,13
checked,1
estimate,11
universally,2
custom-houses,1
disturbed,7
speedy,5
reserving,1
repealed,6
charter,4
channels,2
wash,6
instruct,1
alienage,1
specially,1
service,50
needed,16
master,5
bitter,2
listen,1
equal'this,2
bounty,1
wisdom,9
freemen,7
peril,5
outlay,1
showed,6
tree,2
nations,29
project,6
endure,6
feeling,19
acquisition,14
unintended,1
willingness,1
broods,1
notwithstanding,7
benighted,2
dozen,2
affairs,19
responsible,18
gripe,2
recommended,4
causing,2
absorbed,1
committing,1
shall,221
object,40
diminishing,2
toil,2
affirmation,3
mouth,5
letter,11
conceded,1
morality,1
confederation,6
fugitives,6
senators---each,1
incomplete,2
saying,7
meetings,2
nominated,1
undue,1
participate,2
tempted,3
orleans,4
touches,2
liberated,3
behrings,1
midshipmen,1
intrinsically,4
rich,6
pickens,4
rica,4
inoperative,2
denounce,6
altogether,12
relish,2
harbors,1
release,2
respond,1
fair,13
expediency,9
consummation,10
deemed,9
whigs,6
result,19
fail,15
resigned,7
humoredly,2
best,36
avert,6
unalterably,2
ambitions,1
solicitude,1
droves,4
score,1
preserve,11
discipline,2
never,109
extend,19
nature,17
authorizing,1
extent,31
debt,27
pity,1
country,187
demanded,17
logic,2
installments,2
argue,10
adapted,7
asked,12
fearlessly,1
eradicate,2
alternate,1
vain,2
keepersi,2
armored,2
reconsideration,1
union,244
criticised,1
much,89
privilege,11
undistinguished,2
life,47
spit,1
eastern,4
wish,32
moneys,3
southerners,2
chile,5
doubts,1
worked,3
terms---it,1
nays,3
commerce,15
adaptations,2
presidency,4
employ,2
contemplates,1
remembering,2
congratulation,1
played,2
long-pending,1
actuated,2
obeying,1
characterize,1
elicit,1
trusted,4
damaged,1
quartermaster-general,1
things,18
rebellion,38
harmony,2
emphatic,1
european,4
fairly,19
seamen,4
ownership,2
echoed,1
passeda,1
opinions,23
capitol,4
misconstruction,1
distribute,1
forsaken,1
beset,1
disguise,1
scaffolding--like,1
succeeding,7
previous,8
enters,1
phillips,2
had,210
advancement,7
easy,9
falter,1
has,365
espoused,1
exorcised,2
elevation,2
disagreement,2
possible,32
possibly,4
wide-spread,2
birth,3
shadow,2
occurring,2
desire,10
specie,2
remind,3
steps,3
hypocrites---causes,1
beneficial,2
right,146
old,76
crowd,2
people,268
captive,4
enemies,12
perchance,2
for,788
military---its,1
inhuman,2
us---by,1
brigades,1
losing,1
where---that,1
insinuations,2
dollars,8
citizens,54
anomalous,2
despair,2
depopulated,1
homesteads,1
ill-founded,2
judicial,10
consulting,1
statements,1
respectably,2
administer,5
undermining,2
one-fourth,2
problematical,1
consummated,1
authorizes,2
fabric,2
support,27
constantly,14
knowing,5
avail,1
grasping,2
authorized,9
resulted,1
halls,1
happy,8
therefrom,1
offer,2
forming,2
populous,3
argument---some,1
safeguard,1
blockading,2
considered,18
problematical---while,1
unanimous,6
dues,2
examples,2
passenger,2
adopt,15
liberal,9
state---we,1
proves,3
exist,7
dealer,2
negotiations,1
protested,2
floor,3
actor,2
uttered,1
republic,20
taney,1
equal'',1
steamship,1
intend,3
exempted,1
intent,1
cleaver,2
entrust,4
domingo,1
time,123
push,3
conferred,2
corps,3
whoever,6
chair,2
vet,1
gratulation,2
persevere,1
pursuant,1
navigable,1
choice,12
gloomy,2
fullest,1
exact,6
nature---opposition,1
tear,5
leave,17
settle,4
prevent,25
occurrence,1
insignificant,2
sigh,2
prediction,1
chopping,4
educate,1
exempts,1
jeopardy,1
current,4
father-land,2
drafted,1
states---demand,1
understanding,31
contemplate,1
address,16
alone,14
muskets,1
along,8
momentous,3
redemption,3
brilliant,1
wherever,9
commonly,1
brazilian,1
accomplished,1
engineer,1
love,9
disenthrall,1
logical,4
bloody,6
logically,1
red,6
undergone,1
working,5
positive,4
angry,8
by,671
cherished,3
opposed,13
scope,2
introducing,3
afford,4
apparent,9
oregon,7
odious,1
ignorant,1
virtue,6
easiest,1
behalf,11
originally,3
pretend,1
believes,8
believed,28
webster,7
hides,2
allowed,12
offense,3
[not],2
winter,1
unintentional,1
divided,12
receivability,1
lighten,1
hudsons,1
strictness,1
congress---that,1
spot,2
applications,2
improving,3
such,236
disagreeable,2
natural,9
conscious,2
yielding,3
st,18
thunders,2
so,329
noteworthy,1
years,85
course,39
omitting,1
tendency,6
constituted,7
derive,2
haughty,2
long-felt,1
courtthe,1
torn,3
troubles,2
constitutes,6
decreased,2
troubled,2
instantly,6
thereby,19
reaccept,2
nation,73
compelled,1
arriving,2
reckoning,1
maintaining,7
establishing,9
heresies,2
amnesty,1
quarter,10
repaired,1
revere,2
square,5
honduras,1
revised,1
ours---those,1
entering,1
disasters,2
abide,10
collisions,1
seriously,3
investigation,2
suggesting,1
formula,1
million,5
possibility,4
quite,38
disrespect,1
besides,11
remainder,3
seventy,4
liberally,2
patronage,2
training,2
neglect,2
saving,15
spoken,14
