,474
four,15
aegis,1
aggression,7
marching,1
looking,1
granting,4
eligible,1
quadruple,1
impoverishment,1
sinking,1
well-conducted,1
stipulate,2
appropriation,18
fur,2
bringing,7
advices,1
disturb,11
prize,1
succession,2
charter,3
specially,2
second,7
valiant,1
sustaining,2
consenting,1
errors,1
relieving,1
whaling,1
contributed,5
designing,3
increasing,25
inducement,2
avert,2
offenses,1
here,6
china,11
hers,1
borrowers,2
substance,4
pretensions,1
k,3
reports,10
controversy,6
commerce--ports,1
military,132
appropriately,2
divide,3
explained,1
brought,28
beneficiaries,1
stern,2
forbore,3
apportionment,2
insecurity,2
exhort,1
occupying,8
therefore,37
strike,3
until,51
menaces,4
females,1
relax,2
successful,29
benefiting,1
hereby,2
menaced,3
midst,4
hold,23
circumstances,33
morally,1
pursue,7
accomplishment,2
revenues,13
example,18
unjust,20
artillery,2
organized,20
currency,19
reviewing,1
want,7
absolute,4
unpaid,3
complaining,1
feature,2
how,15
minimums,1
shores,4
wrong,6
destined,3
extortion,1
effective,6
scourge,1
headquarters,4
floridas,2
wing,1
wine,7
restriction,12
concurrence,4
fidelity,1
admirably,1
fit,3
heretofore,21
fix,1
occupations,2
omitted,1
admirable,3
defalcations,1
grievous,1
thrones,2
enrich,1
effects,12
northeasternmost,2
schools,3
matamoras,3
sixteen,1
undeveloped,2
silver,7
represents,3
interfering,1
preceded,4
financial,5
concord,2
series,8
contracting,4
substantially,2
borne,11
excepting,1
encourage,4
millions,29
misrepresentations,1
foundation,7
assured,1
threatened,15
fugitive,1
faculties,1
crowned,3
estimate,15
universally,1
enormous,4
custom-houses,8
absolved,1
disturbed,5
speedy,17
reserving,1
repealed,4
channels,1
seizures,1
service,73
engagement,1
needed,13
listen,3
rewards,1
rest,5
bounty,2
expunged,3
wisdom,26
reimbursable,1
freemen,2
senates,1
surer,1
peril,1
exultation,2
nations,103
project,1
endure,2
feeling,2
acquisition,11
entail,1
willingness,1
boston,1
affairs,36
wholesome,1
responsible,13
recommended,40
absorbed,1
territory--not,1
committing,3
shall,161
object,43
diminishing,4
mouth,5
letter,15
conceded,3
retaining,2
redressing,1
camp,4
consummate,4
detriment,1
came,4
incorporate,1
departing,1
nominated,1
undue,3
participate,2
tempted,1
cheaply,2
lessons,1
capes,2
than,177
rico,3
theme,1
rich,12
rice,1
remotest,1
enlistments,1
accordance,8
adherence,3
