,2256
narcotic,1
four,55
woods,3
hanging,1
aggression,34
marching,2
looking,29
seventy-seven,1
granting,1
eligible,3
electricity,3
consulate,2
fingernails,1
according,3
lord,8
whoops,1
protestants,1
digit,1
government-related,1
regional,25
sunlit,2
aeroflot's,1
forties,2
politician,4
bringing,22
``a,2
basics,7
prize,3
wooden,1
ss-'s,2
wednesday,5
``we're,1
steadfastness,1
reliable,3
charter,9
specially,1
tired,3
bacon,1
holocaust,3
feasibility,1
second,57
inheritors,1
charted,2
selassie,1
sustaining,1
available,13
newsrooms,1
driven,8
errors,2
dialogs,1
medically,1
ruthless,2
thunder,1
cooking,1
contributed,3
decry,1
communism's,2
fossil,1
resilient,1
butch,6
increasing,13
progrowth,1
misjudged,1
hero,3
off-again,1
reporter,1
intentioned,1
fervent,1
``dovorey,1
interdependent,1
here,325
atoms,1
reported,8
china,10
hers,2
affiliated,1
substance,4
unwillingness,2
k,1
climbed,4
reports,6
controversy,3
i'd,24
military,159
i'm,186
cancellation,2
diplomat,2
criticism,2
golden,10
divide,2
principles-substantial,1
owed,6
explained,4
precincts,1
replace,6
brought,61
beneficiaries,3
pro-america,1
scoffed,1
cocaine,4
unit,3
opponents,13
cheating,3
dna,1
spoke,35
tardiness,1
region's,2
explorers,2
occupying,4
statesmanship,1
roundtabled,1
music,11
therefore,16
passport,2
strike,16
until,60
cutbacks,1
paperwork,7
holy,3
relax,1
successful,13
brings,16
hereby,2
hurt,4
glass,3
menaced,1
midst,6
hold,48
circumstances,5
morally,6
locked,2
pursue,16
famed,1
accomplishment,6
plunged,2
itself,54
sweeter,1
concepts,2
revenues,19
example,57
unjust,3
household,3
artillery,8
organized,10
short-notice,3
currency,4
maryland,1
caution,2
reviewing,1
want,181
absolute,4
collector's,1
hoc,1
travel,13
feature,1
machine,3
how,149
hot,2
significance,3
turk,1
dignified,1
ruckelshaus,1
oceans,8
beauty,9
cuisine,1
outlawed,1
shores,13
wrong,33
sentencing,1
unselfish,1
first-strike,1
types,4
steadfast,3
effective,17
helsinki,5
youths,1
revolt,2
headquarters,10
presiding,1
signatories,1
cigarettes,1
appropriation,3
keeps,8
democratic,93
wing,1
wind,4
restriction,2
manipulators,1
welcomed,10
dreamed,2
reforms,24
sunshine,1
instinctive,1
stockpiles,1
rewarded,2
sentry,1
behemoths,1
deregulating,2
lovingly,1
fit,5
lifeline,1
heretofore,1
fix,5
survivors,3
rescued,1
narrowest,1
nobler,1
hidden,6
admirable,1
easier,6
undercut,2
workhorse,1
enrich,1
vouchers,2
pontificating,1
renunciation,1
hurting,1
effects,2
schools,32
sixteen,3
undeveloped,1
eisenhower,7
structural,3
represents,8
holiness,3
dumps,1
crops,3
fi',2
loyalties,1
burial,1
preceded,5
whim,1
financial,15
telescope,1
concord,1
fha,1
long-running,1
equipment-one,2
commons,1
we'd,12
substantially,3
cathedral,9
truman,8
ring,2
whip,1
borne,4
misfortune,1
washingtonians,1
rd,1
encourage,21
adapt,1
appreciably,1
cheerfully,1
foundation,17
assured,10
underfoot,1
threatened,19
self-deceit,1
managerial,1
assures,1
estimate,2
knit,1
universally,1
nuclear-free,1
enormous,8
piecemeal,1
secularism,1
flurry,1
silicon,4
disturbed,4
today's,7
kingdom,3
leaps,1
symbolize,2
appreciable,1
bloodily,1
zhelayu,1
-to-,4
channels,1
langston,1
clarity,2
continent-the,1
seizures,1
households,1
service,25
late-'s,1
engagement,1
needed,27
master,7
listed,2
hypothetical,1
livelihoods,1
