word,count,relative_use
limited,6,0.000121455031275
practicability,2,4.04850104249e-05
chile,16,0.000323880083399
secondly,1,2.02425052124e-05
directions,1,2.02425052124e-05
consista,1,2.02425052124e-05
comparatively,3,6.07275156373e-05
desirable,11,0.000222667557337
needful,1,2.02425052124e-05
extends,3,6.07275156373e-05
four,18,0.000364365093824
facilities,5,0.000101212526062
protest,1,2.02425052124e-05
tensile,1,2.02425052124e-05
intercommunication,1,2.02425052124e-05
mansion,2,4.04850104249e-05
putnam,1,2.02425052124e-05
wholly,3,6.07275156373e-05
integrity,3,6.07275156373e-05
assembled,2,4.04850104249e-05
aggression,2,4.04850104249e-05
consider,4,8.09700208498e-05
relationships,1,2.02425052124e-05
whose,30,0.000607275156373
effectually,6,0.000121455031275
granting,1,2.02425052124e-05
unanimity,1,2.02425052124e-05
paris,6,0.000121455031275
remodeled,1,2.02425052124e-05
contravention,1,2.02425052124e-05
presents,7,0.000141697536487
refunding,3,6.07275156373e-05
restriction,3,6.07275156373e-05
quotas,1,2.02425052124e-05
abra,1,2.02425052124e-05
under,84,0.00170037043785
teaching,2,4.04850104249e-05
remonetization,1,2.02425052124e-05
divergent,1,2.02425052124e-05
merchant,6,0.000121455031275
applied,11,0.000222667557337
statute,18,0.000364365093824
cruising,3,6.07275156373e-05
rescue,1,2.02425052124e-05
saskatchewan,1,2.02425052124e-05
rise,5,0.000101212526062
railways,1,2.02425052124e-05
misunderstanding,1,2.02425052124e-05
regions,2,4.04850104249e-05
interfere,1,2.02425052124e-05
sea-level,1,2.02425052124e-05
amending,1,2.02425052124e-05
appropriation,23,0.000465577619886
every,14,0.000283395072974
gratification,1,2.02425052124e-05
african,1,2.02425052124e-05
govern,2,4.04850104249e-05
affect,6,0.000121455031275
sweetman,1,2.02425052124e-05
bringing,1,2.02425052124e-05
missionary,1,2.02425052124e-05
look,1,2.02425052124e-05
possibility,2,4.04850104249e-05
school,1,2.02425052124e-05
reciprocal,9,0.000182182546912
conceive,1,2.02425052124e-05
companies,9,0.000182182546912
solution,11,0.000222667557337
consulate-general,2,4.04850104249e-05
servia,3,6.07275156373e-05
subjected,4,8.09700208498e-05
hague,1,2.02425052124e-05
phase,2,4.04850104249e-05
authorized,10,0.000202425052124
foreshadowed,2,4.04850104249e-05
employees,3,6.07275156373e-05
monopolized,1,2.02425052124e-05
immunities,3,6.07275156373e-05
illiteracy,3,6.07275156373e-05
triumph,1,2.02425052124e-05
enjoy,1,2.02425052124e-05
disclose,2,4.04850104249e-05
expanded,1,2.02425052124e-05
force,13,0.000263152567762
specially,2,4.04850104249e-05
nigh,2,4.04850104249e-05
infancy,1,2.02425052124e-05
construed,1,2.02425052124e-05
consistent,3,6.07275156373e-05
bankers,1,2.02425052124e-05
estimates,6,0.000121455031275
direct,7,0.000141697536487
horn,1,2.02425052124e-05
feasibility,1,2.02425052124e-05
consists,2,4.04850104249e-05
likely,27,0.000546547640736
exchangeable,1,2.02425052124e-05
opens,1,2.02425052124e-05
believing,2,4.04850104249e-05
rigorous,1,2.02425052124e-05
subordinate,5,0.000101212526062
sailed,2,4.04850104249e-05
estimated,12,0.000242910062549
prevalence,2,4.04850104249e-05
theory,1,2.02425052124e-05
even,27,0.000546547640736
established,16,0.000323880083399
errors,1,2.02425052124e-05
relieving,4,8.09700208498e-05
whaling,1,2.02425052124e-05
conduce,1,2.02425052124e-05
solemn,1,2.02425052124e-05
saved,1,2.02425052124e-05
panama,5,0.000101212526062
wines,1,2.02425052124e-05
contributed,2,4.04850104249e-05
corporation,2,4.04850104249e-05
asia,5,0.000101212526062
consequent,4,8.09700208498e-05
excellency,1,2.02425052124e-05
physical,1,2.02425052124e-05
obviated,1,2.02425052124e-05
absolute,5,0.000101212526062
jerome,1,2.02425052124e-05
above,9,0.000182182546912
conduct,5,0.000101212526062
new,48,0.000971640250197
net,2,4.04850104249e-05
increasing,14,0.000283395072974
ever,7,0.000141697536487
harbors,10,0.000202425052124
steuben,1,2.02425052124e-05
deemed,12,0.000242910062549
