word,count,relative_use
yellow,1,1.24003323289e-05
four,11,0.000136403655618
aggression,2,2.48006646578e-05
conjure,1,1.24003323289e-05
increase,22,0.000272807311236
refunding,1,1.24003323289e-05
sinking,1,1.24003323289e-05
navigating,2,2.48006646578e-05
rashly,1,1.24003323289e-05
oceans,3,3.72009969867e-05
stipulate,2,2.48006646578e-05
appropriation,34,0.000421611299183
bringing,1,1.24003323289e-05
disturb,1,1.24003323289e-05
prize,3,3.72009969867e-05
succession,2,2.48006646578e-05
immunities,1,1.24003323289e-05
enrollment,2,2.48006646578e-05
charter,2,2.48006646578e-05
specially,4,4.96013293156e-05
cordially,11,0.000136403655618
second,8,9.92026586313e-05
sustaining,3,3.72009969867e-05
consenting,1,1.24003323289e-05
localized,1,1.24003323289e-05
increasing,10,0.000124003323289
admiral,1,1.24003323289e-05
intellects,1,1.24003323289e-05
offenses,2,2.48006646578e-05
interrupting,1,1.24003323289e-05
here,16,0.000198405317263
reported,1,1.24003323289e-05
china,15,0.000186004984934
substance,1,1.24003323289e-05
reports,6,7.44019939734e-05
controversy,3,3.72009969867e-05
military,45,0.000558014954801
golden,1,1.24003323289e-05
overtasked,1,1.24003323289e-05
explained,1,1.24003323289e-05
summons,1,1.24003323289e-05
brought,16,0.000198405317263
beneficiaries,1,1.24003323289e-05
stern,1,1.24003323289e-05
forbore,1,1.24003323289e-05
opponents,3,3.72009969867e-05
spoke,1,1.24003323289e-05
glimmering,1,1.24003323289e-05
occupying,1,1.24003323289e-05
therefore,54,0.000669617945761
sermons,1,1.24003323289e-05
until,50,0.000620016616445
holy,1,1.24003323289e-05
successful,9,0.00011160299096
benefiting,1,1.24003323289e-05
hereby,4,4.96013293156e-05
midst,7,8.68023263023e-05
hold,11,0.000136403655618
circumstances,36,0.000446411963841
eighty-second,1,1.24003323289e-05
pursue,3,3.72009969867e-05
accomplishment,3,3.72009969867e-05
revenues,4,4.96013293156e-05
example,11,0.000136403655618
misfortunes,2,2.48006646578e-05
unjust,5,6.20016616445e-05
organized,4,4.96013293156e-05
currency,14,0.000173604652605
malign,2,2.48006646578e-05
want,9,0.00011160299096
reprove,1,1.24003323289e-05
absolute,7,8.68023263023e-05
hon,1,1.24003323289e-05
travel,3,3.72009969867e-05
how,16,0.000198405317263
disgrace,1,1.24003323289e-05
dignified,2,2.48006646578e-05
fanaticism,1,1.24003323289e-05
shores,5,6.20016616445e-05
wrong,1,1.24003323289e-05
destined,4,4.96013293156e-05
nauvoo,1,1.24003323289e-05
effective,3,3.72009969867e-05
revolt,1,1.24003323289e-05
baggage,1,1.24003323289e-05
unlawfully,1,1.24003323289e-05
lieutenant-general,1,1.24003323289e-05
restriction,3,3.72009969867e-05
tranquilizing,1,1.24003323289e-05
concurrence,2,2.48006646578e-05
rewarded,1,1.24003323289e-05
admirably,2,2.48006646578e-05
unforeseen,1,1.24003323289e-05
heretofore,8,9.92026586313e-05
fix,2,2.48006646578e-05
occupations,1,1.24003323289e-05
secede,4,4.96013293156e-05
survivors,1,1.24003323289e-05
endeavoring,1,1.24003323289e-05
statesthus,1,1.24003323289e-05
wales,1,1.24003323289e-05
admirable,2,2.48006646578e-05
grievous,1,1.24003323289e-05
educating,2,2.48006646578e-05
detachment,4,4.96013293156e-05
effects,5,6.20016616445e-05
schools,3,3.72009969867e-05
township,1,1.24003323289e-05
silver,12,0.000148803987947
represents,1,1.24003323289e-05
crops,1,1.24003323289e-05
interfering,1,1.24003323289e-05
preceded,1,1.24003323289e-05
financial,7,8.68023263023e-05
series,7,8.68023263023e-05
parasites,2,2.48006646578e-05
contracting,5,6.20016616445e-05
substantially,2,2.48006646578e-05
allay,1,1.24003323289e-05
unattainable,1,1.24003323289e-05
borne,1,1.24003323289e-05
toleration,1,1.24003323289e-05
misfortune,3,3.72009969867e-05
warthese,1,1.24003323289e-05
waive,1,1.24003323289e-05
encourage,1,1.24003323289e-05
millions,8,9.92026586313e-05
foundation,2,2.48006646578e-05
assured,6,7.44019939734e-05
threatened,5,6.20016616445e-05
fugitive,1,1.24003323289e-05
estimate,6,7.44019939734e-05
universally,2,2.48006646578e-05
exposing,1,1.24003323289e-05
custom-houses,1,1.24003323289e-05
absolved,1,1.24003323289e-05
mormons's],1,1.24003323289e-05
disturbed,4,4.96013293156e-05
