word,count,relative_use
narcotic,1,1.56563126253e-05
four,14,0.000219188376754
woods,1,1.56563126253e-05
hanging,1,1.56563126253e-05
aggression,48,0.000751503006012
increase,31,0.000485345691383
eligible,2,3.13126252505e-05
sunlit,1,1.56563126253e-05
lord,1,1.56563126253e-05
oceans,5,7.82815631263e-05
bringing,1,1.56563126253e-05
shouting,1,1.56563126253e-05
wavered,1,1.56563126253e-05
reliable,1,1.56563126253e-05
charter,3,4.69689378758e-05
tired,6,9.39378757515e-05
storm's,1,1.56563126253e-05
holocaust,2,3.13126252505e-05
second,17,0.000266157314629
valiant,2,3.13126252505e-05
available,1,1.56563126253e-05
ruthless,3,4.69689378758e-05
thunder,1,1.56563126253e-05
contributed,1,1.56563126253e-05
fingers,1,1.56563126253e-05
decry,1,1.56563126253e-05
designing,1,1.56563126253e-05
increasing,1,1.56563126253e-05
progrowth,1,1.56563126253e-05
clear-sighted,1,1.56563126253e-05
here,88,0.00137775551102
china,6,9.39378757515e-05
confronts,1,1.56563126253e-05
kids,29,0.000454033066132
reports,1,1.56563126253e-05
i'd,19,0.00029746993988
military,77,0.00120553607214
i'm,71,0.00111159819639
criticism,1,1.56563126253e-05
appropriately,2,3.13126252505e-05
divide,3,4.69689378758e-05
explained,1,1.56563126253e-05
replace,3,4.69689378758e-05
brought,12,0.000187875751503
cocaine,6,9.39378757515e-05
unit,1,1.56563126253e-05
opponents,4,6.2625250501e-05
spoke,11,0.000172219438878
movedwell,1,1.56563126253e-05
therefore,4,6.2625250501e-05
until,14,0.000219188376754
paperwork,2,3.13126252505e-05
holy,1,1.56563126253e-05
successful,9,0.000140906813627
brings,6,9.39378757515e-05
hereby,1,1.56563126253e-05
hurt,2,3.13126252505e-05
glass,1,1.56563126253e-05
expeditionary,1,1.56563126253e-05
midst,2,3.13126252505e-05
hold,16,0.000250501002004
circumstances,3,4.69689378758e-05
morally,3,4.69689378758e-05
locked,4,6.2625250501e-05
pursue,3,4.69689378758e-05
accomplishment,1,1.56563126253e-05
concepts,1,1.56563126253e-05
revenues,3,4.69689378758e-05
example,9,0.000140906813627
wane,1,1.56563126253e-05
artillery,4,6.2625250501e-05
organized,3,4.69689378758e-05
caution,3,4.69689378758e-05
want,79,0.00123684869739
absolute,2,3.13126252505e-05
travel,2,3.13126252505e-05
damage,5,7.82815631263e-05
leaguers,1,1.56563126253e-05
machine,5,7.82815631263e-05
how,45,0.000704534068136
hot,1,1.56563126253e-05
regional,13,0.000203532064128
beauty,1,1.56563126253e-05
'here,1,1.56563126253e-05
shores,2,3.13126252505e-05
modest,2,3.13126252505e-05
effective,7,0.000109594188377
scourge,5,7.82815631263e-05
baggage,1,1.56563126253e-05
keeps,2,3.13126252505e-05
democratic,37,0.000579283567134
wing,1,1.56563126253e-05
backdrop,1,1.56563126253e-05
senators,3,4.69689378758e-05
welcomed,1,1.56563126253e-05
dreamed,1,1.56563126253e-05
reforms,2,3.13126252505e-05
stockpiles,1,1.56563126253e-05
rewarded,2,3.13126252505e-05
wrought,1,1.56563126253e-05
homebuyers,3,4.69689378758e-05
fix,3,4.69689378758e-05
hidden,1,1.56563126253e-05
admirable,1,1.56563126253e-05
easier,7,0.000109594188377
vaclav,2,3.13126252505e-05
enrich,2,3.13126252505e-05
hussein's,6,9.39378757515e-05
effects,1,1.56563126253e-05
schools,24,0.000375751503006
yourself,1,1.56563126253e-05
silver,1,1.56563126253e-05
competitiveness,3,4.69689378758e-05
represents,2,3.13126252505e-05
barton,5,7.82815631263e-05
dumps,1,1.56563126253e-05
addicted,3,4.69689378758e-05
angola,4,6.2625250501e-05
series,2,3.13126252505e-05
we'd,6,9.39378757515e-05
cathedral,1,1.56563126253e-05
truman,7,0.000109594188377
ring,2,3.13126252505e-05
borne,1,1.56563126253e-05
toleration,1,1.56563126253e-05
indiscretion,1,1.56563126253e-05
encourage,14,0.000219188376754
adapt,1,1.56563126253e-05
founders',1,1.56563126253e-05
foundation,3,4.69689378758e-05
assured,3,4.69689378758e-05
noriega,4,6.2625250501e-05
threatened,6,9.39378757515e-05
assures,2,3.13126252505e-05
``george,1,1.56563126253e-05
universally,1,1.56563126253e-05
enormous,4,6.2625250501e-05
ma'mafter,1,1.56563126253e-05
today's,6,9.39378757515e-05
subtlety,1,1.56563126253e-05
emaciated,1,1.56563126253e-05
clarity,2,3.13126252505e-05
service,19,0.00029746993988
similarly,3,4.69689378758e-05
lawsuits,5,7.82815631263e-05
engagement,4,6.2625250501e-05
needed,8,0.000125250501002
mind-boggling,1,1.56563126253e-05
master,5,7.82815631263e-05
listen,14,0.000219188376754
rewards,1,1.56563126253e-05
collapse,2,3.13126252505e-05
geneva,2,3.13126252505e-05
convention,4,6.2625250501e-05
wisdom,2,3.13126252505e-05
palsy,1,1.56563126253e-05
crawl,1,1.56563126253e-05
peril,3,4.69689378758e-05
showed,2,3.13126252505e-05
outlaw,4,6.2625250501e-05
anniversaries,1,1.56563126253e-05
tree,1,1.56563126253e-05
nations,125,0.00195703907816
feeling,3,4.69689378758e-05
acquisition,1,1.56563126253e-05
acclaim,1,1.56563126253e-05
willingness,4,6.2625250501e-05
boston,1,1.56563126253e-05
dozen,2,3.13126252505e-05
affairs,6,9.39378757515e-05
concrete,4,6.2625250501e-05
responsible,7,0.000109594188377
recommended,2,3.13126252505e-05
absorbed,1,1.56563126253e-05
doors,1,1.56563126253e-05
kremlin,2,3.13126252505e-05
imprudent,1,1.56563126253e-05
shall,3,4.69689378758e-05
diminishing,1,1.56563126253e-05
swiss,1,1.56563126253e-05
blackmailed,1,1.56563126253e-05
addict,1,1.56563126253e-05
letter,5,7.82815631263e-05
episode,1,1.56563126253e-05
camp,3,4.69689378758e-05
neediest,1,1.56563126253e-05
voluntarism,1,1.56563126253e-05
purged,1,1.56563126253e-05
came,19,0.00029746993988
saying,8,0.000125250501002
bomb,1,1.56563126253e-05
departing,1,1.56563126253e-05
meetings,3,4.69689378758e-05
participate,1,1.56563126253e-05
hungary,1,1.56563126253e-05
tempted,1,1.56563126253e-05
lessons,4,6.2625250501e-05
touches,1,1.56563126253e-05
busy,2,3.13126252505e-05
clicked,1,1.56563126253e-05
headline,1,1.56563126253e-05
rico,1,1.56563126253e-05
bush,9,0.000140906813627
touched,5,7.82815631263e-05
rich,9,0.000140906813627
population,1,1.56563126253e-05
foremost,1,1.56563126253e-05
pocket,2,3.13126252505e-05
relish,1,1.56563126253e-05
societies,2,3.13126252505e-05
boarder,1,1.56563126253e-05
reviving,1,1.56563126253e-05
release,3,4.69689378758e-05
respond,3,4.69689378758e-05
mandatory,7,0.000109594188377
disaster,1,1.56563126253e-05
fair,20,0.000313126252505
result,9,0.000140906813627
fail,10,0.000156563126253
hammer,1,1.56563126253e-05
best,38,0.00059493987976
advisedly,1,1.56563126253e-05
ambitions,3,4.69689378758e-05
rings,1,1.56563126253e-05
score,1,1.56563126253e-05
humankind,3,4.69689378758e-05
preserve,6,9.39378757515e-05
wage,1,1.56563126253e-05
never,49,0.000767159318637
schwarzkopf,5,7.82815631263e-05
extend,6,9.39378757515e-05
nature,8,0.000125250501002
rolled,1,1.56563126253e-05
authorizing,1,1.56563126253e-05
extent,1,1.56563126253e-05
debt,9,0.000140906813627
energy-related,1,1.56563126253e-05
tyranny,4,6.2625250501e-05
war's,2,3.13126252505e-05
accident,1,1.56563126253e-05
country,95,0.0014873496994
demanded,2,3.13126252505e-05
``heartbreak,1,1.56563126253e-05
asked,21,0.00032878256513
eradicate,1,1.56563126253e-05
self-confidence,1,1.56563126253e-05
rangers,1,1.56563126253e-05
union,81,0.00126816132265
much,76,0.00118987975952
privilege,4,6.2625250501e-05
pro,1,1.56563126253e-05
life,55,0.000861097194389
homeland,2,3.13126252505e-05
eastern,11,0.000172219438878
worker,7,0.000109594188377
lift,6,9.39378757515e-05
child,18,0.000281813627255
worked,21,0.00032878256513
chill,1,1.56563126253e-05
commerce,2,3.13126252505e-05
overflight,1,1.56563126253e-05
kennan,1,1.56563126253e-05
presidency,7,0.000109594188377
contingencies,1,1.56563126253e-05
contemplates,1,1.56563126253e-05
inaugural,2,3.13126252505e-05
played,3,4.69689378758e-05
kuwaitis,2,3.13126252505e-05
huddleston,1,1.56563126253e-05
specter,1,1.56563126253e-05
hong,1,1.56563126253e-05
things,40,0.00062625250501
ira's,1,1.56563126253e-05
democracies,9,0.000140906813627
harmony,5,7.82815631263e-05
babies,2,3.13126252505e-05
principals,1,1.56563126253e-05
european,8,0.000125250501002
voyages,1,1.56563126253e-05
ownership,3,4.69689378758e-05
furlough,2,3.13126252505e-05
echoed,2,3.13126252505e-05
corporate,1,1.56563126253e-05
plight,2,3.13126252505e-05
alum,1,1.56563126253e-05
ease,5,7.82815631263e-05
had,52,0.000814128256513
easy,12,0.000187875751503
prison,4,6.2625250501e-05
falter,2,3.13126252505e-05
east,27,0.000422720440882
possible,24,0.000375751503006
possibly,2,3.13126252505e-05
gridlock,3,4.69689378758e-05
birth,1,1.56563126253e-05
shadow,3,4.69689378758e-05
unique,9,0.000140906813627
occurring,1,1.56563126253e-05
desire,4,6.2625250501e-05
american's,3,4.69689378758e-05
remind,5,7.82815631263e-05
steps,20,0.000313126252505
yerevan,1,1.56563126253e-05
battlefield,2,3.13126252505e-05
attorney,2,3.13126252505e-05
right,90,0.00140906813627
old,26,0.000407064128257
crowd,3,4.69689378758e-05
people,223,0.00349135771543
creed,1,1.56563126253e-05
tasselled,1,1.56563126253e-05
captive,3,4.69689378758e-05
harassment,1,1.56563126253e-05
enemies,2,3.13126252505e-05
chorus,1,1.56563126253e-05
for,712,0.0111472945892
bottom,1,1.56563126253e-05
creative,2,3.13126252505e-05
contributing,4,6.2625250501e-05
foe,1,1.56563126253e-05
fog,2,3.13126252505e-05
summoned,1,1.56563126253e-05
'mercy',1,1.56563126253e-05
hadassah,1,1.56563126253e-05
yoke,1,1.56563126253e-05
defensive,4,6.2625250501e-05
losing,1,1.56563126253e-05
transcends,1,1.56563126253e-05
dollars,7,0.000109594188377
citizens,25,0.000391407815631
o,3,4.69689378758e-05
bicentennial,2,3.13126252505e-05
disqualified,1,1.56563126253e-05
palestinians,3,4.69689378758e-05
rebut,1,1.56563126253e-05
nixon,1,1.56563126253e-05
raised,4,6.2625250501e-05
statements,3,4.69689378758e-05
marshall,1,1.56563126253e-05
son,6,9.39378757515e-05
thankful,1,1.56563126253e-05
beings,1,1.56563126253e-05
reducing,1,1.56563126253e-05
fabric,1,1.56563126253e-05
waits,1,1.56563126253e-05
support,58,0.000908066132265
constantly,1,1.56563126253e-05
raped,1,1.56563126253e-05
authorized,1,1.56563126253e-05
greatness,5,7.82815631263e-05
overhead,1,1.56563126253e-05
halls,2,3.13126252505e-05
launching,1,1.56563126253e-05
happy,4,6.2625250501e-05
underestimated,1,1.56563126253e-05
unfree,1,1.56563126253e-05
offer,12,0.000187875751503
fascination,1,1.56563126253e-05
hemisphere,6,9.39378757515e-05
understandable,2,3.13126252505e-05
safeguard,4,6.2625250501e-05
congratulations,2,3.13126252505e-05
else's,3,4.69689378758e-05
