word,count,relative_use
four,18,0.000259160607588
cyprus,1,1.43978115326e-05
aggression,11,0.000158375926859
looking,5,7.19890576632e-05
eligible,2,2.87956230653e-05
electricity,5,7.19890576632e-05
averell,1,1.43978115326e-05
lord,1,1.43978115326e-05
wracked,1,1.43978115326e-05
rashly,1,1.43978115326e-05
regional,4,5.75912461306e-05
strictest,1,1.43978115326e-05
bringing,1,1.43978115326e-05
prize,1,1.43978115326e-05
wednesday,2,2.87956230653e-05
piling,1,1.43978115326e-05
wavered,1,1.43978115326e-05
charter,5,7.19890576632e-05
tired,2,2.87956230653e-05
second,22,0.000316751853718
charted,1,1.43978115326e-05
valiant,1,1.43978115326e-05
report>,1,1.43978115326e-05
self-reliant,1,1.43978115326e-05
contributed,1,1.43978115326e-05
fossil,1,1.43978115326e-05
increasing,9,0.000129580303794
admiral,2,2.87956230653e-05
shocks,2,2.87956230653e-05
specialist,1,1.43978115326e-05
here,41,0.000590310272839
reported,4,5.75912461306e-05
kennedythe,1,1.43978115326e-05
china,25,0.000359945288316
substance,1,1.43978115326e-05
climbed,1,1.43978115326e-05
reports,2,2.87956230653e-05
controversy,1,1.43978115326e-05
i'd,9,0.000129580303794
military,53,0.00076308401123
i'm,56,0.000806277445828
criticism,2,2.87956230653e-05
projection,1,1.43978115326e-05
replace,6,8.63868691959e-05
brought,14,0.000201569361457
stern,1,1.43978115326e-05
bring',1,1.43978115326e-05
cheating,1,1.43978115326e-05
spoke,2,2.87956230653e-05
therefore,11,0.000158375926859
inner,2,2.87956230653e-05
until,24,0.000345547476784
cutbacks,1,1.43978115326e-05
playboy,3,4.31934345979e-05
mia's,2,2.87956230653e-05
standardized,1,1.43978115326e-05
successful,13,0.000187171549924
brings,1,1.43978115326e-05
hurt,6,8.63868691959e-05
midst,1,1.43978115326e-05
hold,17,0.000244762796055
circumstances,11,0.000158375926859
morally,1,1.43978115326e-05
locked,1,1.43978115326e-05
pursue,9,0.000129580303794
rulings,1,1.43978115326e-05
concepts,1,1.43978115326e-05
revenues,2,2.87956230653e-05
example,16,0.000230364984522
organized,4,5.75912461306e-05
reviewing,3,4.31934345979e-05
want,84,0.00120941616874
absolute,4,5.75912461306e-05
travel,8,0.000115182492261
damage,2,2.87956230653e-05
how,35,0.000503923403643
preferable,1,1.43978115326e-05
unemployment-which,1,1.43978115326e-05
oceans,2,2.87956230653e-05
beauty,4,5.75912461306e-05
modest,2,2.87956230653e-05
reassess,1,1.43978115326e-05
vance,1,1.43978115326e-05
effective,21,0.000302354042186
helsinki,3,4.31934345979e-05
wins,1,1.43978115326e-05
headquarters,1,1.43978115326e-05
democratic,40,0.000575912461306
wind,1,1.43978115326e-05
senators,2,2.87956230653e-05
dreamed,1,1.43978115326e-05
govern,5,7.19890576632e-05
vary,1,1.43978115326e-05
stockpiles,1,1.43978115326e-05
fit,3,4.31934345979e-05
fix,1,1.43978115326e-05
stevens,2,2.87956230653e-05
survivors,1,1.43978115326e-05
matured,1,1.43978115326e-05
nobler,1,1.43978115326e-05
hidden,1,1.43978115326e-05
easier,4,5.75912461306e-05
effects,1,1.43978115326e-05
schools,3,4.31934345979e-05
eisenhower,4,5.75912461306e-05
structural,1,1.43978115326e-05
represents,3,4.31934345979e-05
crops,2,2.87956230653e-05
preceded,1,1.43978115326e-05
angola,4,5.75912461306e-05
low-sulfur,1,1.43978115326e-05
fha,1,1.43978115326e-05
substantially,6,8.63868691959e-05
truman,7,0.000100784680729
borne,1,1.43978115326e-05
encourage,16,0.000230364984522
millions,10,0.000143978115326
foundation,17,0.000244762796055
assured,3,4.31934345979e-05
threatened,11,0.000158375926859
necessarily,1,1.43978115326e-05
cornerstone,1,1.43978115326e-05
enormous,7,0.000100784680729
typified,1,1.43978115326e-05
obsolescent,2,2.87956230653e-05
today's,1,1.43978115326e-05
clarity,2,2.87956230653e-05
service,10,0.000143978115326
needed,9,0.000129580303794
master,1,1.43978115326e-05
rabin,1,1.43978115326e-05
bitter,2,2.87956230653e-05
persecute,1,1.43978115326e-05
rewards,1,1.43978115326e-05
geneva,1,1.43978115326e-05
convention,9,0.000129580303794
conservation>,1,1.43978115326e-05
wisdom,12,0.000172773738392
predictable,3,4.31934345979e-05
peril,1,1.43978115326e-05
showed,2,2.87956230653e-05
nations,92,0.001324598661
project,3,4.31934345979e-05
idle,2,2.87956230653e-05
endure,3,4.31934345979e-05
feeling,4,5.75912461306e-05
willingness,3,4.31934345979e-05
affairs,18,0.000259160607588
person,18,0.000259160607588
responsible,18,0.000259160607588
eagerly,1,1.43978115326e-05
recommended,2,2.87956230653e-05
causing,1,1.43978115326e-05
responsibly,2,2.87956230653e-05
grips,3,4.31934345979e-05
shipments,2,2.87956230653e-05
rhodesia,4,5.75912461306e-05
shall,1,1.43978115326e-05
limitless,1,1.43978115326e-05
shale,3,4.31934345979e-05
affirmation,1,1.43978115326e-05
organization,5,7.19890576632e-05
morality,1,1.43978115326e-05
dummy,1,1.43978115326e-05
antitrust,1,1.43978115326e-05
camp,11,0.000158375926859
came,8,0.000115182492261
treasuries,1,1.43978115326e-05
bomb,1,1.43978115326e-05
reactor,1,1.43978115326e-05
meetings,3,4.31934345979e-05
participate,5,7.19890576632e-05
tempted,2,2.87956230653e-05
lessons,3,4.31934345979e-05
touches,3,4.31934345979e-05
headline,1,1.43978115326e-05
than,168,0.00241883233748
bush,1,1.43978115326e-05
rich,12,0.000172773738392
foremost,1,1.43978115326e-05
reversal,1,1.43978115326e-05
altogether,2,2.87956230653e-05
societies,1,1.43978115326e-05
contributes,2,2.87956230653e-05
succumb,2,2.87956230653e-05
kippur,1,1.43978115326e-05
release,11,0.000158375926859
hasten,1,1.43978115326e-05
respond,6,8.63868691959e-05
mandatory,7,0.000100784680729
disaster,3,4.31934345979e-05
fair,25,0.000359945288316
consummation,1,1.43978115326e-05
accept-and,1,1.43978115326e-05
result,12,0.000172773738392
fail,6,8.63868691959e-05
best,50,0.000719890576632
pressures,9,0.000129580303794
r,1,1.43978115326e-05
occupational,2,2.87956230653e-05
preserve,18,0.000259160607588
discipline,1,1.43978115326e-05
men,12,0.000172773738392
nationwide,1,1.43978115326e-05
nature,5,7.19890576632e-05
authorizing,1,1.43978115326e-05
conflagration,2,2.87956230653e-05
tyranny,1,1.43978115326e-05
war's,1,1.43978115326e-05
accident,1,1.43978115326e-05
country,200,0.00287956230653
demanded,2,2.87956230653e-05
planned,5,7.19890576632e-05
argue,1,1.43978115326e-05
asked,17,0.000244762796055
irresponsible,5,7.19890576632e-05
handguns>,1,1.43978115326e-05
matte,1,1.43978115326e-05
union,81,0.00116622273414
extraction,1,1.43978115326e-05
much,63,0.000907062126557
stadium,1,1.43978115326e-05
privilege,3,4.31934345979e-05
incompetent,1,1.43978115326e-05
life,44,0.000633503707436
retrospect,1,1.43978115326e-05
eastern,3,4.31934345979e-05
worker,2,2.87956230653e-05
wish,7,0.000100784680729
moneys,1,1.43978115326e-05
kids,1,1.43978115326e-05
chile,8,0.000115182492261
child,5,7.19890576632e-05
worked,9,0.000129580303794
doth,1,1.43978115326e-05
diverted,1,1.43978115326e-05
commerce,3,4.31934345979e-05
presidency,3,4.31934345979e-05
employ,3,4.31934345979e-05
economics,3,4.31934345979e-05
played,1,1.43978115326e-05
campaigning,4,5.75912461306e-05
memorial,1,1.43978115326e-05
-mile,1,1.43978115326e-05
things,31,0.000446332157512
demands,11,0.000158375926859
democracies,8,0.000115182492261
split,2,2.87956230653e-05
european,5,7.19890576632e-05
fairly,8,0.000115182492261
ownership,2,2.87956230653e-05
intrusion,2,2.87956230653e-05
peremptory,1,1.43978115326e-05
maxims,1,1.43978115326e-05
corporate,1,1.43978115326e-05
outlived,2,2.87956230653e-05
capitol,3,4.31934345979e-05
succeeding,2,2.87956230653e-05
previous,7,0.000100784680729
authorizations,1,1.43978115326e-05
ease,3,4.31934345979e-05
had,134,0.00192930674537
advancement,1,1.43978115326e-05
troublespots,1,1.43978115326e-05
easy,16,0.000230364984522
prison,2,2.87956230653e-05
east,36,0.000518321215175
espoused,1,1.43978115326e-05
municipal,1,1.43978115326e-05
survival,3,4.31934345979e-05
posed,2,2.87956230653e-05
possible,24,0.000345547476784
firmer,1,1.43978115326e-05
indicative,3,4.31934345979e-05
birth,2,2.87956230653e-05
shadow,1,1.43978115326e-05
unique,1,1.43978115326e-05
harmoniously,2,2.87956230653e-05
strengths,1,1.43978115326e-05
remind,1,1.43978115326e-05
misled,1,1.43978115326e-05
steps,13,0.000187171549924
battlefield,1,1.43978115326e-05
beneficial,4,5.75912461306e-05
right,44,0.000633503707436
old,11,0.000158375926859
crowd,1,1.43978115326e-05
people,347,0.00499604060183
czech,1,1.43978115326e-05
captive,2,2.87956230653e-05
sure,31,0.000446332157512
enemies,3,4.31934345979e-05
for,725,0.0104384133612
bottom,2,2.87956230653e-05
creative,1,1.43978115326e-05
repression,1,1.43978115326e-05
individuals,8,0.000115182492261
periphery,1,1.43978115326e-05
-months,1,1.43978115326e-05
shifting,1,1.43978115326e-05
losing,5,7.19890576632e-05
manufacturing,2,2.87956230653e-05
dollars,8,0.000115182492261
citizens,32,0.000460729969045
o,1,1.43978115326e-05
despair,8,0.000115182492261
lacked,1,1.43978115326e-05
palestinians,1,1.43978115326e-05
slightly,2,2.87956230653e-05
nixon,23,0.000331149665251
raised,5,7.19890576632e-05
statements,7,0.000100784680729
marshall,2,2.87956230653e-05
nongovernmental,1,1.43978115326e-05
administer,1,1.43978115326e-05
thankful,1,1.43978115326e-05
beings,7,0.000100784680729
one-fourth,2,2.87956230653e-05
raises,1,1.43978115326e-05
reducing,12,0.000172773738392
friends-they,1,1.43978115326e-05
fabric,1,1.43978115326e-05
support,44,0.000633503707436
constantly,3,4.31934345979e-05
knowing,3,4.31934345979e-05
one-time,2,2.87956230653e-05
grasping,1,1.43978115326e-05
greatness,4,5.75912461306e-05
resulted,2,2.87956230653e-05
launching,1,1.43978115326e-05
happy,1,1.43978115326e-05
manufacturers,1,1.43978115326e-05
understandably,1,1.43978115326e-05
forming,1,1.43978115326e-05
hemisphere,5,7.19890576632e-05
understandable,2,2.87956230653e-05
safeguard,1,1.43978115326e-05
blockading,1,1.43978115326e-05
devices,3,4.31934345979e-05
eisenhower-they,1,1.43978115326e-05
pricing,1,1.43978115326e-05
later,20,0.000287956230653
disgrace,6,8.63868691959e-05
implications,2,2.87956230653e-05
proven,8,0.000115182492261
exist,10,0.000143978115326
paperwork,3,4.31934345979e-05
negotiations,22,0.000316751853718
eventual,2,2.87956230653e-05
floor,1,1.43978115326e-05
cambodia,6,8.63868691959e-05
flood,1,1.43978115326e-05
republic,14,0.000201569361457
ambitious,2,2.87956230653e-05
disastrously,1,1.43978115326e-05
intend,12,0.000172773738392
israeli-jordanian,1,1.43978115326e-05
miranda,3,4.31934345979e-05
persecution,2,2.87956230653e-05
explosions,1,1.43978115326e-05
duplication,2,2.87956230653e-05
reorganization,9,0.000129580303794
forask,1,1.43978115326e-05
workers',1,1.43978115326e-05
time,108,0.00155496364553
push,1,1.43978115326e-05
societythat,1,1.43978115326e-05
corps,4,5.75912461306e-05
economy-wide,1,1.43978115326e-05
nonproliferation,5,7.19890576632e-05
veterans,3,4.31934345979e-05
persevere,2,2.87956230653e-05
allegations,1,1.43978115326e-05
consolidation,2,2.87956230653e-05
choice,21,0.000302354042186
exact,2,2.87956230653e-05
minute,1,1.43978115326e-05
long-developed,1,1.43978115326e-05
of--the,1,1.43978115326e-05
leave,3,4.31934345979e-05
solved,1,1.43978115326e-05
settle,1,1.43978115326e-05
team,6,8.63868691959e-05
coal-i,1,1.43978115326e-05
prevent,8,0.000115182492261
spiritual,4,5.75912461306e-05
continue--confidently--our,1,1.43978115326e-05
prediction,2,2.87956230653e-05
sign,7,0.000100784680729
chopping,1,1.43978115326e-05
reaffirmed,2,2.87956230653e-05
harris',1,1.43978115326e-05
educate,1,1.43978115326e-05
current,7,0.000100784680729
know--that's,1,1.43978115326e-05
ground,7,0.000100784680729
drafted,1,1.43978115326e-05
jury,1,1.43978115326e-05
understanding,8,0.000115182492261
address,8,0.000115182492261
alone,16,0.000230364984522
along,10,0.000143978115326
momentous,1,1.43978115326e-05
passengers,1,1.43978115326e-05
dusty,1,1.43978115326e-05
studied,1,1.43978115326e-05
wherever,3,4.31934345979e-05
accomplished,4,5.75912461306e-05
love,4,5.75912461306e-05
confidentiality,1,1.43978115326e-05
prefer,1,1.43978115326e-05
red,1,1.43978115326e-05
working,37,0.000532719026708
positive,4,5.75912461306e-05
tightly,1,1.43978115326e-05
crystalized,1,1.43978115326e-05
opposed,5,7.19890576632e-05
wondering,1,1.43978115326e-05
scope,2,2.87956230653e-05
afford,11,0.000158375926859
refrain,1,1.43978115326e-05
everywhere,7,0.000100784680729
easiest,1,1.43978115326e-05
behalf,2,2.87956230653e-05
originally,1,1.43978115326e-05
abortion,4,5.75912461306e-05
printing,1,1.43978115326e-05
values,19,0.00027355841912
stature,5,7.19890576632e-05
believed,5,7.19890576632e-05
world--in,1,1.43978115326e-05
awesome,3,4.31934345979e-05
grain-exporting,1,1.43978115326e-05
monitoring,2,2.87956230653e-05
winter,4,5.75912461306e-05
divided,4,5.75912461306e-05
coleman,1,1.43978115326e-05
five-year,1,1.43978115326e-05
reassessment,1,1.43978115326e-05
date,4,5.75912461306e-05
such,33,0.000475127780577
unwinnable,1,1.43978115326e-05
revealed,5,7.19890576632e-05
stress,1,1.43978115326e-05
natural,20,0.000287956230653
yielding,2,2.87956230653e-05
st,2,2.87956230653e-05
so,117,0.00168454394932
pollution,9,0.000129580303794
pulled,1,1.43978115326e-05
handguns,1,1.43978115326e-05
years,146,0.00210208048377
hiring,4,5.75912461306e-05
thoughtfulness,2,2.87956230653e-05
derive,2,2.87956230653e-05
overhaul,2,2.87956230653e-05
torn,3,4.31934345979e-05
troubles,1,1.43978115326e-05
aviv,1,1.43978115326e-05
decreased,1,1.43978115326e-05
troubled,5,7.19890576632e-05
decades,7,0.000100784680729
instantly,1,1.43978115326e-05
recipients,1,1.43978115326e-05
civilian,1,1.43978115326e-05
