word,count,relative_use
limited,3,7.63358778626e-05
pardon,1,2.54452926209e-05
inadequacy,2,5.08905852417e-05
comparatively,4,0.000101781170483
desirable,10,0.000254452926209
dynasty,1,2.54452926209e-05
four,2,5.08905852417e-05
obstruction,3,7.63358778626e-05
administration--should,1,2.54452926209e-05
intercommunication,1,2.54452926209e-05
consists,1,2.54452926209e-05
wholly,4,0.000101781170483
integrity,6,0.000152671755725
assembled,1,2.54452926209e-05
defraud,1,2.54452926209e-05
offenses,10,0.000254452926209
effectually,5,0.000127226463104
granting,1,2.54452926209e-05
tehuantepec,3,7.63358778626e-05
periodicals,1,2.54452926209e-05
boundless,1,2.54452926209e-05
steadily,4,0.000101781170483
presents,4,0.000101781170483
list,2,5.08905852417e-05
invaders,2,5.08905852417e-05
bays,1,2.54452926209e-05
whatsoever,1,2.54452926209e-05
under,92,0.00234096692112
messenger,1,2.54452926209e-05
reforms,1,2.54452926209e-05
pride,3,7.63358778626e-05
worth,1,2.54452926209e-05
merchant,2,5.08905852417e-05
deliberations,3,7.63358778626e-05
adverting,1,2.54452926209e-05
cruising,1,2.54452926209e-05
rescue,1,2.54452926209e-05
compassion,1,2.54452926209e-05
dispense,1,2.54452926209e-05
productiveness,1,2.54452926209e-05
oceans,7,0.000178117048346
appropriation,15,0.000381679389313
every,44,0.00111959287532
gratification,3,7.63358778626e-05
govern,2,5.08905852417e-05
uncertain,1,2.54452926209e-05
bringing,1,2.54452926209e-05
excited,1,2.54452926209e-05
vast,8,0.000203562340967
advices,3,7.63358778626e-05
disturb,2,5.08905852417e-05
reciprocal,3,7.63358778626e-05
furrowed,1,2.54452926209e-05
facilities,2,5.08905852417e-05
crops,3,7.63358778626e-05
supports,1,2.54452926209e-05
conceive,1,2.54452926209e-05
auditor,1,2.54452926209e-05
minnesota,1,2.54452926209e-05
arrayed,1,2.54452926209e-05
convenience,4,0.000101781170483
pardons,1,2.54452926209e-05
remoteness,1,2.54452926209e-05
abolishing,3,7.63358778626e-05
shows,1,2.54452926209e-05
deplorable,1,2.54452926209e-05
occupancy,1,2.54452926209e-05
enjoy,6,0.000152671755725
parted,1,2.54452926209e-05
force,28,0.000712468193384
specially,3,7.63358778626e-05
inevitably,1,2.54452926209e-05
construed,3,7.63358778626e-05
presidio,1,2.54452926209e-05
consistent,3,7.63358778626e-05
estimates,7,0.000178117048346
direct,3,7.63358778626e-05
appropriated,4,0.000101781170483
second,7,0.000178117048346
sternly,1,2.54452926209e-05
estimated,6,0.000152671755725
