word,count,relative_use
four,35,0.000327562002808
jihad,2,1.87178287319e-05
bodman,1,9.35891436593e-06
self-reliant,1,9.35891436593e-06
aggression,8,7.48713149275e-05
looking,7,6.55124005615e-05
self-pity,2,1.87178287319e-05
granting,2,1.87178287319e-05
eligible,4,3.74356574637e-05
electricity,2,1.87178287319e-05
unanswered,1,9.35891436593e-06
illegally,5,4.67945718297e-05
ridgehe,1,9.35891436593e-06
oceans,2,1.87178287319e-05
bringing,10,9.35891436593e-05
basics,3,2.80767430978e-05
whitman,1,9.35891436593e-06
wednesday,2,1.87178287319e-05
implanting,1,9.35891436593e-06
steadfastness,2,1.87178287319e-05
straight,2,1.87178287319e-05
guardsmen,2,1.87178287319e-05
charter,5,4.67945718297e-05
tired,3,2.80767430978e-05
miller,4,3.74356574637e-05
mail,3,2.80767430978e-05
second,33,0.000308844174076
valiant,1,9.35891436593e-06
quite,1,9.35891436593e-06
errors,3,2.80767430978e-05
ruthless,3,2.80767430978e-05
contributed,1,9.35891436593e-06
fingers,1,9.35891436593e-06
resilient,2,1.87178287319e-05
contributes,1,9.35891436593e-06
progrowth,1,9.35891436593e-06
shocks,1,9.35891436593e-06
specialist,1,9.35891436593e-06
hero,2,1.87178287319e-05
avert,1,9.35891436593e-06
offenses,1,9.35891436593e-06
splinter,1,9.35891436593e-06
here,143,0.00133832475433
reported,3,2.80767430978e-05
china,10,9.35891436593e-05
affiliated,1,9.35891436593e-06
confronts,1,9.35891436593e-06
borrowers,3,2.80767430978e-05
kids,3,2.80767430978e-05
pretensions,1,9.35891436593e-06
k,1,9.35891436593e-06
reports,5,4.67945718297e-05
controversy,1,9.35891436593e-06
i'd,1,9.35891436593e-06
military,104,0.000973327094057
i'm,75,0.000701918577445
criticism,5,4.67945718297e-05
golden,3,2.80767430978e-05
explained,2,1.87178287319e-05
replace,7,6.55124005615e-05
brought,23,0.000215255030416
beneficiaries,1,9.35891436593e-06
unit,1,9.35891436593e-06
opponents,3,2.80767430978e-05
dna,1,9.35891436593e-06
spoke,4,3.74356574637e-05
insecurity,1,9.35891436593e-06
music,1,9.35891436593e-06
therefore,12,0.000112306972391
grounding,1,9.35891436593e-06
strike,9,8.42302292934e-05
until,22,0.000205896116051
paperwork,1,9.35891436593e-06
holy,5,4.67945718297e-05
populations,1,9.35891436593e-06
successful,18,0.000168460458587
brings,12,0.000112306972391
hereby,2,1.87178287319e-05
high-wage,1,9.35891436593e-06
hurt,2,1.87178287319e-05
reversible,1,9.35891436593e-06
menaced,1,9.35891436593e-06
hole,1,9.35891436593e-06
hold,23,0.000215255030416
circumstances,8,7.48713149275e-05
morally,1,9.35891436593e-06
pursue,20,0.000187178287319
accomplishment,3,2.80767430978e-05
rulings,1,9.35891436593e-06
battlefront,1,9.35891436593e-06
revenues,6,5.61534861956e-05
example,24,0.000224613944782
unjust,1,9.35891436593e-06
organized,2,1.87178287319e-05
reviewing,2,1.87178287319e-05
want,119,0.00111371080955
counseling,2,1.87178287319e-05
absolute,1,9.35891436593e-06
provincial,5,4.67945718297e-05
travel,9,8.42302292934e-05
damage,2,1.87178287319e-05
how,61,0.000570893776322
hot,1,9.35891436593e-06
significance,1,9.35891436593e-06
fanaticism,1,9.35891436593e-06
regional,4,3.74356574637e-05
shores,1,9.35891436593e-06
wrong,17,0.000159101544221
destined,1,9.35891436593e-06
extortion,1,9.35891436593e-06
assimilates,1,9.35891436593e-06
effective,29,0.000271408516612
headquarters,1,9.35891436593e-06
presiding,1,9.35891436593e-06
baggage,1,9.35891436593e-06
keeps,2,1.87178287319e-05
barnhart,1,9.35891436593e-06
democratic,40,0.000374356574637
frontlines,3,2.80767430978e-05
systemically,1,9.35891436593e-06
wind,4,3.74356574637e-05
restriction,1,9.35891436593e-06
welcomed,4,3.74356574637e-05
benefited,2,1.87178287319e-05
drawdown,4,3.74356574637e-05
stockpiles,1,9.35891436593e-06
marginalization,1,9.35891436593e-06
welcomes,3,2.80767430978e-05
fit,1,9.35891436593e-06
self-appointed,2,1.87178287319e-05
fix,5,4.67945718297e-05
occupations,1,9.35891436593e-06
discourse,1,9.35891436593e-06
courageous,5,4.67945718297e-05
survivors,2,1.87178287319e-05
rescued,4,3.74356574637e-05
fig,1,9.35891436593e-06
hidden,5,4.67945718297e-05
easier,9,8.42302292934e-05
undercut,1,9.35891436593e-06
grievous,1,9.35891436593e-06
enrich,2,1.87178287319e-05
hussein's,7,6.55124005615e-05
zoning,1,9.35891436593e-06
educating,1,9.35891436593e-06
effects,2,1.87178287319e-05
schools,51,0.000477304632663
blink,1,9.35891436593e-06
eisenhower,2,1.87178287319e-05
prize,4,3.74356574637e-05
represents,3,2.80767430978e-05
re-processing,1,9.35891436593e-06
addicted,6,5.61534861956e-05
whim,2,1.87178287319e-05
financial,50,0.000467945718297
intelligence-sharing,1,9.35891436593e-06
series,9,8.42302292934e-05
allah,1,9.35891436593e-06
parasites,1,9.35891436593e-06
we'd,2,1.87178287319e-05
substantially,2,1.87178287319e-05
laboratory,1,9.35891436593e-06
truman,5,4.67945718297e-05
catch-and-release,1,9.35891436593e-06
whip,1,9.35891436593e-06
pre-positioned,1,9.35891436593e-06
smu,1,9.35891436593e-06
freeze,2,1.87178287319e-05
rd,1,9.35891436593e-06
encourage,28,0.000262049602246
millions,49,0.000458586803931
foundation,5,4.67945718297e-05
imported,1,9.35891436593e-06
assured,2,1.87178287319e-05
threatened,4,3.74356574637e-05
surveys,1,9.35891436593e-06
classso,1,9.35891436593e-06
sensors,1,9.35891436593e-06
enormous,3,2.80767430978e-05
exposing,1,9.35891436593e-06
shelves,1,9.35891436593e-06
silicon,1,9.35891436593e-06
family-friendly,1,9.35891436593e-06
speedy,1,9.35891436593e-06
today's,6,5.61534861956e-05
caught,3,2.80767430978e-05
steroids,2,1.87178287319e-05
disfigured,1,9.35891436593e-06
vitro,2,1.87178287319e-05
