word,count,relative_use
limited,3,0.000354861603974
writings,1,0.000118287201325
legacies,1,0.000118287201325
secondly,1,0.000118287201325
consolidated,1,0.000118287201325
desirable,1,0.000118287201325
scheming,1,0.000118287201325
assembled,2,0.00023657440265
aggression,2,0.00023657440265
whose,4,0.000473148805299
votes,2,0.00023657440265
violate,1,0.000118287201325
presents,1,0.000118287201325
under,17,0.00201088242252
sinking,1,0.000118287201325
applied,3,0.000354861603974
void,2,0.00023657440265
misunderstanding,1,0.000118287201325
every,13,0.00153773361722
gratification,1,0.000118287201325
govern,4,0.000473148805299
plural,1,0.000118287201325
conceive,5,0.000591436006624
clothes,1,0.000118287201325
charter,1,0.000118287201325
force,1,0.000118287201325
diverting,1,0.000118287201325
infancy,1,0.000118287201325
direct,2,0.00023657440265
second,3,0.000354861603974
even,5,0.000591436006624
established,3,0.000354861603974
errors,3,0.000354861603974
deliberate,1,0.000118287201325
solemn,2,0.00023657440265
liberty,17,0.00201088242252
mischievous,2,0.00023657440265
causes,4,0.000473148805299
above,1,0.000118287201325
conduct,2,0.00023657440265
new,1,0.000118287201325
aweaker,1,0.000118287201325
ever,4,0.000473148805299
seeks,1,0.000118287201325
told,1,0.000118287201325
men,7,0.000828010409274
here,2,0.00023657440265
protection,1,0.000118287201325
effectually,1,0.000118287201325
forum,1,0.000118287201325
unwillingness,1,0.000118287201325
rests,1,0.000118287201325
changed,3,0.000354861603974
approaches,1,0.000118287201325
credit,3,0.000354861603974
permit,1,0.000118287201325
complicated,1,0.000118287201325
settled,2,0.00023657440265
punishment,1,0.000118287201325
mutual,1,0.000118287201325
golden,1,0.000118287201325
subsists,1,0.000118287201325
secure,3,0.000354861603974
highly,2,0.00023657440265
forums,1,0.000118287201325
sternest,1,0.000118287201325
spoke,1,0.000118287201325
would,22,0.00260231842915
agitation,1,0.000118287201325
negative,2,0.00023657440265
therefore,5,0.000591436006624
intrust,1,0.000118287201325
recommend,2,0.00023657440265
until,1,0.000118287201325
separated,1,0.000118287201325
tolerated,1,0.000118287201325
brings,1,0.000118287201325
reign,1,0.000118287201325
former,8,0.000946297610599
circumstances,7,0.000828010409274
me,15,0.00177430801987
room,1,0.000118287201325
rights,14,0.00165602081855
accomplishment,1,0.000118287201325
refusing,1,0.000118287201325
entertained,1,0.000118287201325
immutable,1,0.000118287201325
mr,5,0.000591436006624
revenues,2,0.00023657440265
my,30,0.00354861603974
give,3,0.000354861603974
assent,1,0.000118287201325
currency,4,0.000473148805299
want,4,0.000473148805299
keep,4,0.000473148805299
provincial,1,0.000118287201325
provide,1,0.000118287201325
feature,1,0.000118287201325
very,4,0.000473148805299
writers,1,0.000118287201325
ordinary,2,0.00023657440265
fellow-man,1,0.000118287201325
qualification,1,0.000118287201325
beauty,2,0.00023657440265
after,3,0.000354861603974
lay,1,0.000118287201325
curiosity,1,0.000118287201325
president,11,0.00130115921457
law,2,0.00023657440265
correctives,1,0.000118287201325
attempt,3,0.000354861603974
effective,1,0.000118287201325
hasty,2,0.00023657440265
acknowledged,3,0.000354861603974
presiding,1,0.000118287201325
neglect,1,0.000118287201325
maintain,1,0.000118287201325
ultimate,2,0.00023657440265
enter,1,0.000118287201325
democratic,3,0.000354861603974
operations,5,0.000591436006624
executed,1,0.000118287201325
office,4,0.000473148805299
consent,3,0.000354861603974
over,3,0.000354861603974
before,3,0.000354861603974
personal,3,0.000354861603974
heretofore,3,0.000354861603974
striking,1,0.000118287201325
expectations,2,0.00023657440265
writing,1,0.000118287201325
destroyed,1,0.000118287201325
production,1,0.000118287201325
overcome,1,0.000118287201325
then,5,0.000591436006624
them,29,0.00343032883842
safe,1,0.000118287201325
effects,4,0.000473148805299
they,27,0.00319375443577
leading,3,0.000354861603974
each,8,0.000946297610599
organized,1,0.000118287201325
interfering,1,0.000118287201325
instrumentality,1,0.000118287201325
afforded,1,0.000118287201325
schemes,2,0.00023657440265
observance,1,0.000118287201325
concord,1,0.000118287201325
councils,1,0.000118287201325
