word,count,relative_use
limited,11,0.000163059590869
majesty's,1,1.48235991699e-05
directions,2,2.96471983398e-05
comparatively,5,7.41179958494e-05
desirable,9,0.000133412392529
needful,2,2.96471983398e-05
felt,7,0.000103765194189
four,6,8.89415950193e-05
obstruction,4,5.92943966795e-05
protest,2,2.96471983398e-05
absorbing,1,1.48235991699e-05
consists,3,4.44707975096e-05
magistrate,2,2.96471983398e-05
wholly,8,0.000118588793359
integrity,3,4.44707975096e-05
assembled,3,4.44707975096e-05
defraud,3,4.44707975096e-05
forget,1,1.48235991699e-05
whose,22,0.000326119181737
votes,10,0.000148235991699
voter,2,2.96471983398e-05
impediment,1,1.48235991699e-05
effectually,4,5.92943966795e-05
unanimity,3,4.44707975096e-05
paris,6,8.89415950193e-05
bottoms,1,1.48235991699e-05
seriously,5,7.41179958494e-05
james,1,1.48235991699e-05
presents,5,7.41179958494e-05
unsteadiness,1,1.48235991699e-05
nominal,3,4.44707975096e-05
voted,1,1.48235991699e-05
under,139,0.00206048028461
pride,3,4.44707975096e-05
worth,9,0.000133412392529
superintendent,1,1.48235991699e-05
placed,10,0.000148235991699
sinking,12,0.000177883190039
applied,11,0.000163059590869
lack,1,1.48235991699e-05
risk,2,2.96471983398e-05
destitution,1,1.48235991699e-05
rise,2,2.96471983398e-05
railways,1,1.48235991699e-05
misunderstanding,1,1.48235991699e-05
lima,1,1.48235991699e-05
appropriation,53,0.000785650756004
every,79,0.00117106433442
yellow,2,2.96471983398e-05
suggests,2,2.96471983398e-05
reforms,3,4.44707975096e-05
affect,2,2.96471983398e-05
bringing,3,4.44707975096e-05
vast,9,0.000133412392529
look,6,8.89415950193e-05
believed,24,0.000355766380077
school,10,0.000148235991699
reexamination,1,1.48235991699e-05
malietoa,1,1.48235991699e-05
reciprocal,5,7.41179958494e-05
stead,1,1.48235991699e-05
hath,1,1.48235991699e-05
clothed,1,1.48235991699e-05
amendatory,3,4.44707975096e-05
conception,1,1.48235991699e-05
companies,4,5.92943966795e-05
solution,3,4.44707975096e-05
arrayed,1,1.48235991699e-05
servia,1,1.48235991699e-05
convenience,3,4.44707975096e-05
red,1,1.48235991699e-05
pendency,1,1.48235991699e-05
succession,1,1.48235991699e-05
murders,1,1.48235991699e-05
bordering,1,1.48235991699e-05
deplorable,4,5.92943966795e-05
precursor,1,1.48235991699e-05
victory,1,1.48235991699e-05
enjoy,3,4.44707975096e-05
chew,1,1.48235991699e-05
mission,1,1.48235991699e-05
force,63,0.000933886747702
infringed,1,1.48235991699e-05
superiors,1,1.48235991699e-05
construed,1,1.48235991699e-05
cordially,2,2.96471983398e-05
fairness,1,1.48235991699e-05
midsummer,1,1.48235991699e-05
direct,8,0.000118588793359
feasibility,1,1.48235991699e-05
surrounding,4,5.92943966795e-05
second,12,0.000177883190039
exchangeable,1,1.48235991699e-05
corner,1,1.48235991699e-05
sustaining,1,1.48235991699e-05
available,12,0.000177883190039
estimated,35,0.000518825970946
incompatible,1,1.48235991699e-05
long-standing,2,2.96471983398e-05
even,18,0.000266824785058
established,21,0.000311295582567
errors,5,7.41179958494e-05
liberates,1,1.48235991699e-05
deliberate,2,2.96471983398e-05
solemn,4,5.92943966795e-05
irrevocably,2,2.96471983398e-05
panama,2,2.96471983398e-05
selected,6,8.89415950193e-05
contributed,2,2.96471983398e-05
near,2,2.96471983398e-05
liberty,9,0.000133412392529
consequent,1,1.48235991699e-05
liberated,1,1.48235991699e-05
unskilled,1,1.48235991699e-05
mischievous,2,2.96471983398e-05
that--these,1,1.48235991699e-05
above,7,0.000103765194189
conduct,19,0.000281648384228
new,60,0.000889415950193
net,2,2.96471983398e-05
increasing,13,0.000192706789208
ever,11,0.000163059590869
destroy,4,5.92943966795e-05
reviving,1,1.48235991699e-05
connects,2,2.96471983398e-05
deemed,15,0.000222353987548
dispatched,1,1.48235991699e-05
wavering,1,1.48235991699e-05
offenses,7,0.000103765194189
obviating,1,1.48235991699e-05
divergence,1,1.48235991699e-05
men,27,0.000400237177587
obstructions,2,2.96471983398e-05
senatorial,1,1.48235991699e-05
here,16,0.000237177586718
met,4,5.92943966795e-05
fairly,4,5.92943966795e-05
protection,54,0.000800474355173
china,25,0.000370589979247
pursuit,4,5.92943966795e-05
represented,4,5.92943966795e-05
path,2,2.96471983398e-05
half,1,1.48235991699e-05
violate,1,1.48235991699e-05
obtained,9,0.000133412392529
substance,3,4.44707975096e-05
lafayette,1,1.48235991699e-05
attending,2,2.96471983398e-05
rests,7,0.000103765194189
elaborate,5,7.41179958494e-05
changed,2,2.96471983398e-05
envoy,2,2.96471983398e-05
reports,24,0.000355766380077
controversy,3,4.44707975096e-05
museums,1,1.48235991699e-05
credit,13,0.000192706789208
cogent,1,1.48235991699e-05
depreciated,1,1.48235991699e-05
permit,4,5.92943966795e-05
trespassers,1,1.48235991699e-05
military,56,0.000830121553513
adopting,4,5.92943966795e-05
stipulated,1,1.48235991699e-05
settled,11,0.000163059590869
punishment,8,0.000118588793359
fell,1,1.48235991699e-05
consumers,1,1.48235991699e-05
cheerfully,2,2.96471983398e-05
reckoned,1,1.48235991699e-05
subsists,1,1.48235991699e-05
secure,30,0.000444707975096
campaign,2,2.96471983398e-05
explained,3,4.44707975096e-05
precincts,3,4.44707975096e-05
excuse,1,1.48235991699e-05
feelings,2,2.96471983398e-05
brought,12,0.000177883190039
thrust,1,1.48235991699e-05
ninety,1,1.48235991699e-05
moral,5,7.41179958494e-05
meats,1,1.48235991699e-05
stand,5,7.41179958494e-05
total,25,0.000370589979247
fractional,1,1.48235991699e-05
ord,1,1.48235991699e-05
preeminent,1,1.48235991699e-05
receivable,1,1.48235991699e-05
riots,1,1.48235991699e-05
charge,5,7.41179958494e-05
would,125,0.00185294989623
army,60,0.000889415950193
commissioned,1,1.48235991699e-05
dispatches,1,1.48235991699e-05
hospital,1,1.48235991699e-05
coins,1,1.48235991699e-05
arms,2,2.96471983398e-05
insult,1,1.48235991699e-05
statesmanship,2,2.96471983398e-05
incomplete,1,1.48235991699e-05
refunding,14,0.000207530388378
call,20,0.000296471983398
therefore,37,0.000548473169286
raids,2,2.96471983398e-05
recommend,29,0.000429884375926
assessment,1,1.48235991699e-05
until,17,0.000252001185888
exacts,1,1.48235991699e-05
preserved,4,5.92943966795e-05
tolerated,1,1.48235991699e-05
menaces,1,1.48235991699e-05
supporters,4,5.92943966795e-05
successful,16,0.000237177586718
brings,1,1.48235991699e-05
expose,2,2.96471983398e-05
hereby,11,0.000163059590869
violates,1,1.48235991699e-05
infusion,1,1.48235991699e-05
award,4,5.92943966795e-05
it,550,0.00815297954343
warn,3,4.44707975096e-05
ambition,1,1.48235991699e-05
berlin,3,4.44707975096e-05
excellent,1,1.48235991699e-05
continual,1,1.48235991699e-05
midst,2,2.96471983398e-05
hold,9,0.000133412392529
tariff,1,1.48235991699e-05
supplemental,5,7.41179958494e-05
circumstances,18,0.000266824785058
me,51,0.000756003557664
join,3,4.44707975096e-05
room,2,2.96471983398e-05
rights,56,0.000830121553513
work,35,0.000518825970946
refusing,3,4.44707975096e-05
superstructure,1,1.48235991699e-05
theories,1,1.48235991699e-05
unprovoked,1,1.48235991699e-05
depositing,2,2.96471983398e-05
deficiencies,3,4.44707975096e-05
era,1,1.48235991699e-05
mechanic,2,2.96471983398e-05
