word,count,relative_use
deferment,1,1.14113565821e-05
four,9,0.000102702209239
woods,1,1.14113565821e-05
candidates',1,1.14113565821e-05
hanging,1,1.14113565821e-05
aggression,2,2.28227131641e-05
marching,1,1.14113565821e-05
looking,4,4.56454263283e-05
granting,2,2.28227131641e-05
electricity,1,1.14113565821e-05
refunding,1,1.14113565821e-05
impoverishment,1,1.14113565821e-05
lord,1,1.14113565821e-05
co-operation,10,0.000114113565821
regional,1,1.14113565821e-05
stipulate,1,1.14113565821e-05
appropriation,7,7.98794960745e-05
bringing,8,9.12908526566e-05
disturb,1,1.14113565821e-05
piling,3,3.42340697462e-05
succession,1,1.14113565821e-05
deferments,1,1.14113565821e-05
inheritances,1,1.14113565821e-05
commented,1,1.14113565821e-05
specially,1,1.14113565821e-05
mirage,1,1.14113565821e-05
second,12,0.000136936278985
valiant,1,1.14113565821e-05
sustaining,6,6.84681394924e-05
errors,2,2.28227131641e-05
relieving,3,3.42340697462e-05
ruthless,1,1.14113565821e-05
contributed,14,0.000159758992149
increasing,25,0.000285283914552
shocks,11,0.000125524922403
pioneering,1,1.14113565821e-05
avert,1,1.14113565821e-05
here,19,0.000216815775059
reported,5,5.70567829104e-05
china,6,6.84681394924e-05
hers,1,1.14113565821e-05
borrowers,4,4.56454263283e-05
deferring,1,1.14113565821e-05
reports,1,1.14113565821e-05
controversy,2,2.28227131641e-05
military,5,5.70567829104e-05
i'm,1,1.14113565821e-05
cancellation,5,5.70567829104e-05
criticism,5,5.70567829104e-05
projection,1,1.14113565821e-05
replace,5,5.70567829104e-05
brought,36,0.000410808836955
associations--all,1,1.14113565821e-05
unit,5,5.70567829104e-05
opponents,37,0.000422220193537
impartiality,1,1.14113565821e-05
statesmanship,2,2.28227131641e-05
kettles,1,1.14113565821e-05
music,3,3.42340697462e-05
therefore,31,0.000353752054044
strike,5,5.70567829104e-05
until,32,0.000365163410626
unprofitable,1,1.14113565821e-05
populations,1,1.14113565821e-05
detracts,1,1.14113565821e-05
brings,8,9.12908526566e-05
glass,5,5.70567829104e-05
countryit,1,1.14113565821e-05
midst,4,4.56454263283e-05
hold,14,0.000159758992149
circumstances,6,6.84681394924e-05
pursue,3,3.42340697462e-05
accomplishment,8,9.12908526566e-05
plunged,1,1.14113565821e-05
imperialism,2,2.28227131641e-05
concepts,1,1.14113565821e-05
centralization,2,2.28227131641e-05
example,5,5.70567829104e-05
frictions,1,1.14113565821e-05
unjust,2,2.28227131641e-05
organized,27,0.000308106627716
currency,19,0.000216815775059
malign,1,1.14113565821e-05
caution,1,1.14113565821e-05
reviewing,1,1.14113565821e-05
want,10,0.000114113565821
absolute,4,4.56454263283e-05
livened,1,1.14113565821e-05
travel,1,1.14113565821e-05
damage,1,1.14113565821e-05
machine,1,1.14113565821e-05
how,9,0.000102702209239
significance,1,1.14113565821e-05
beauty,1,1.14113565821e-05
minimized,1,1.14113565821e-05
shores,1,1.14113565821e-05
wrong,8,9.12908526566e-05
destined,1,1.14113565821e-05
minimizes,1,1.14113565821e-05
types,7,7.98794960745e-05
entrusted,2,2.28227131641e-05
effective,36,0.000410808836955
keeps,1,1.14113565821e-05
democratic,117,0.0013351287201
wing,1,1.14113565821e-05
restriction,4,4.56454263283e-05
welcomed,1,1.14113565821e-05
unworthiness,1,1.14113565821e-05
fidelity,2,2.28227131641e-05
fit,1,1.14113565821e-05
unforeseen,1,1.14113565821e-05
heretofore,2,2.28227131641e-05
fix,5,5.70567829104e-05
&frac,2,2.28227131641e-05
rescued,1,1.14113565821e-05
narrowest,1,1.14113565821e-05
endeavoring,4,4.56454263283e-05
true--but,1,1.14113565821e-05
nobler,1,1.14113565821e-05
admirable,2,2.28227131641e-05
grievous,1,1.14113565821e-05
renunciation,3,3.42340697462e-05
effects,6,6.84681394924e-05
schools,4,4.56454263283e-05
township,1,1.14113565821e-05
sixteen,2,2.28227131641e-05
silver,5,5.70567829104e-05
represents,6,6.84681394924e-05
crops,2,2.28227131641e-05
preceded,1,1.14113565821e-05
financial,50,0.000570567829104
series,3,3.42340697462e-05
contracting,5,5.70567829104e-05
substantially,4,4.56454263283e-05
ameliorate,3,3.42340697462e-05
ring,1,1.14113565821e-05
borne,6,6.84681394924e-05
self-,3,3.42340697462e-05
excepting,1,1.14113565821e-05
rd,1,1.14113565821e-05
encourage,2,2.28227131641e-05
millions,36,0.000410808836955
foundation,12,0.000136936278985
stamping,2,2.28227131641e-05
view--that,1,1.14113565821e-05
assured,13,0.000148347635567
threatened,2,2.28227131641e-05
strata,1,1.14113565821e-05
assures,2,2.28227131641e-05
estimate,9,0.000102702209239
knit,1,1.14113565821e-05
universally,1,1.14113565821e-05
enormous,8,9.12908526566e-05
disturbed,4,4.56454263283e-05
speedy,1,1.14113565821e-05
repealed,1,1.14113565821e-05
purpose,65,0.000741738177835
carryover,1,1.14113565821e-05
channels,7,7.98794960745e-05
instruct,1,1.14113565821e-05
service,73,0.000833029030491
needed,9,0.000102702209239
master,6,6.84681394924e-05
listed,2,2.28227131641e-05
bitter,5,5.70567829104e-05
ranging,1,1.14113565821e-05
listen,1,1.14113565821e-05
rewards,1,1.14113565821e-05
collapse,25,0.000285283914552
geneva,7,7.98794960745e-05
-ton,2,2.28227131641e-05
wisdom,5,5.70567829104e-05
defaulted,1,1.14113565821e-05
positively,3,3.42340697462e-05
recognized--that,1,1.14113565821e-05
outlay,4,4.56454263283e-05
showed,3,3.42340697462e-05
nations,67,0.000764560890999
project,8,9.12908526566e-05
idle,4,4.56454263283e-05
readjusted,2,2.28227131641e-05
endure,1,1.14113565821e-05
tion,1,1.14113565821e-05
feeling,5,5.70567829104e-05
acquisition,1,1.14113565821e-05
entail,1,1.14113565821e-05
willingness,2,2.28227131641e-05
dozen,1,1.14113565821e-05
affairs,9,0.000102702209239
appointees,1,1.14113565821e-05
person,6,6.84681394924e-05
responsible,5,5.70567829104e-05
factor--that,1,1.14113565821e-05
recommended,38,0.000433631550119
absorbed,3,3.42340697462e-05
doors,3,3.42340697462e-05
lakes-st,2,2.28227131641e-05
greenback,2,2.28227131641e-05
committing,1,1.14113565821e-05
shall,154,0.00175734891364
circulated,3,3.42340697462e-05
unmindful,1,1.14113565821e-05
diminishing,2,2.28227131641e-05
looming,1,1.14113565821e-05
simplify,1,1.14113565821e-05
mouth,1,1.14113565821e-05
letter,3,3.42340697462e-05
organization,52,0.000593390542268
drought,21,0.000239638488223
expound,1,1.14113565821e-05
antitrust,5,5.70567829104e-05
state-directed,1,1.14113565821e-05
complexities,1,1.14113565821e-05
detriment,1,1.14113565821e-05
incomplete,1,1.14113565821e-05
advisory,5,5.70567829104e-05
bureaucratizing,1,1.14113565821e-05
centers--for,1,1.14113565821e-05
undue,3,3.42340697462e-05
participate,5,5.70567829104e-05
hungary,1,1.14113565821e-05
tempted,1,1.14113565821e-05
lessons,2,2.28227131641e-05
orleans,1,1.14113565821e-05
touches,1,1.14113565821e-05
ment,2,2.28227131641e-05
than,180,0.00205404418477
rico,1,1.14113565821e-05
rich,7,7.98794960745e-05
foolishly,1,1.14113565821e-05
emphatically,1,1.14113565821e-05
war-demoralized,1,1.14113565821e-05
remotest,2,2.28227131641e-05
inoperative,3,3.42340697462e-05
denounce,2,2.28227131641e-05
foremost,1,1.14113565821e-05
cushion,2,2.28227131641e-05
altogether,1,1.14113565821e-05
societies,1,1.14113565821e-05
contributes,1,1.14113565821e-05
run-off,1,1.14113565821e-05
respond,3,3.42340697462e-05
leasing,1,1.14113565821e-05
disaster,11,0.000125524922403
fair,2,2.28227131641e-05
consummation,2,2.28227131641e-05
result,52,0.000593390542268
fail,14,0.000159758992149
resigned,1,1.14113565821e-05
best,10,0.000114113565821
unalterably,2,2.28227131641e-05
pressures,11,0.000125524922403
score,12,0.000136936278985
preserve,19,0.000216815775059
wage,4,4.56454263283e-05
never,36,0.000410808836955
nationwide,3,3.42340697462e-05
nature,10,0.000114113565821
invigorated,1,1.14113565821e-05
authorizing,3,3.42340697462e-05
extent,17,0.000193993061895
debt,21,0.000239638488223
tyranny,7,7.98794960745e-05
country,193,0.00220239182034
demanded,2,2.28227131641e-05
planned,2,2.28227131641e-05
logic,1,1.14113565821e-05
argue,2,2.28227131641e-05
adapted,4,4.56454263283e-05
asked,5,5.70567829104e-05
fearlessly,1,1.14113565821e-05
vain,2,2.28227131641e-05
postmasters,1,1.14113565821e-05
reconsideration,2,2.28227131641e-05
union,7,7.98794960745e-05
subsidy,1,1.14113565821e-05
much,48,0.000547745115939
privilege,8,9.12908526566e-05
counterattack,1,1.14113565821e-05
life,91,0.00103843344897
retrospect,1,1.14113565821e-05
worker,7,7.98794960745e-05
wish,43,0.000490688333029
moneys,1,1.14113565821e-05
lift,5,5.70567829104e-05
chile,2,2.28227131641e-05
child,5,5.70567829104e-05
evasions,1,1.14113565821e-05
worked,8,9.12908526566e-05
diverted,1,1.14113565821e-05
commerce,36,0.000410808836955
presidency,3,3.42340697462e-05
animosities,1,1.14113565821e-05
employ,2,2.28227131641e-05
contemplates,1,1.14113565821e-05
played,1,1.14113565821e-05
player,1,1.14113565821e-05
eighteen,2,2.28227131641e-05
campaigning,2,2.28227131641e-05
commission--that,1,1.14113565821e-05
severity,1,1.14113565821e-05
things,14,0.000159758992149
cumulative,1,1.14113565821e-05
haphazard,1,1.14113565821e-05
visitations,1,1.14113565821e-05
woolley,1,1.14113565821e-05
european,16,0.000182581705313
fairly,1,1.14113565821e-05
boiled,1,1.14113565821e-05
equalizing,1,1.14113565821e-05
typhoid,1,1.14113565821e-05
qualifications,1,1.14113565821e-05
marched,2,2.28227131641e-05
ownership,14,0.000159758992149
saidi,1,1.14113565821e-05
tune,1,1.14113565821e-05
populationin,1,1.14113565821e-05
furlough,3,3.42340697462e-05
intrusion,1,1.14113565821e-05
take-the-hindermost,1,1.14113565821e-05
echoed,1,1.14113565821e-05
academic,2,2.28227131641e-05
misrepresents,1,1.14113565821e-05
corporate,1,1.14113565821e-05
opinions,3,3.42340697462e-05
foreigners,1,1.14113565821e-05
distribute,3,3.42340697462e-05
self-liquidating,5,5.70567829104e-05
succeeding,1,1.14113565821e-05
previous,22,0.000251049844806
authorizations,2,2.28227131641e-05
ease,1,1.14113565821e-05
had,94,0.00107266751871
advancement,20,0.000228227131641
disparity,1,1.14113565821e-05
collections,1,1.14113565821e-05
prison,3,3.42340697462e-05
has,505,0.00576273507395
municipal,9,0.000102702209239
disagreement,1,1.14113565821e-05
possible,23,0.000262461201388
possibly,4,4.56454263283e-05
least--of,1,1.14113565821e-05
birth,1,1.14113565821e-05
unique,3,3.42340697462e-05
desire,20,0.000228227131641
psychological,2,2.28227131641e-05
new-found,1,1.14113565821e-05
remind,6,6.84681394924e-05
misled,1,1.14113565821e-05
steps,11,0.000125524922403
beneficial,4,4.56454263283e-05
right,14,0.000159758992149
old,17,0.000193993061895
crowd,1,1.14113565821e-05
people,296,0.00337776154829
begin,1,1.14113565821e-05
sure,8,9.12908526566e-05
insistence,5,5.70567829104e-05
fiduciary,1,1.14113565821e-05
harassment,1,1.14113565821e-05
for,782,0.00892368084718
bottom,1,1.14113565821e-05
creative,3,3.42340697462e-05
contributing,2,2.28227131641e-05
individuals,15,0.000171170348731
exposition,2,2.28227131641e-05
economics--it,1,1.14113565821e-05
summoned,1,1.14113565821e-05
shifting,7,7.98794960745e-05
defensive,3,3.42340697462e-05
manufacturing,8,9.12908526566e-05
dollars,8,9.12908526566e-05
citizens,60,0.000684681394924
o,1,1.14113565821e-05
despair,3,3.42340697462e-05
slightly,2,2.28227131641e-05
raised,5,5.70567829104e-05
statements,14,0.000159758992149
son,3,3.42340697462e-05
administer,3,3.42340697462e-05
undermining,4,4.56454263283e-05
consummated,1,1.14113565821e-05
pairs,1,1.14113565821e-05
reducing,10,0.000114113565821
fabric,6,6.84681394924e-05
support,48,0.000547745115939
constantly,15,0.000171170348731
avail,3,3.42340697462e-05
joseph,1,1.14113565821e-05
authorized,20,0.000228227131641
greatness,2,2.28227131641e-05
resulted,12,0.000136936278985
happy,3,3.42340697462e-05
insurrection,2,2.28227131641e-05
manufacturers,7,7.98794960745e-05
forming,1,1.14113565821e-05
hemisphere,3,3.42340697462e-05
safeguard,10,0.000114113565821
prosecutions,2,2.28227131641e-05
devices,1,1.14113565821e-05
unanimous,1,1.14113565821e-05
smashed,1,1.14113565821e-05
non-war-connected,1,1.14113565821e-05
passenger,1,1.14113565821e-05
adopt,2,2.28227131641e-05
liberal,2,2.28227131641e-05
palo,1,1.14113565821e-05
steady,11,0.000125524922403
proven,2,2.28227131641e-05
crumble,1,1.14113565821e-05
exist,4,4.56454263283e-05
negotiations,4,4.56454263283e-05
slurring,1,1.14113565821e-05
floor,1,1.14113565821e-05
relax,1,1.14113565821e-05
uttered,1,1.14113565821e-05
flood,6,6.84681394924e-05
republic,14,0.000159758992149
ambitious,1,1.14113565821e-05
steamship,1,1.14113565821e-05
intend,2,2.28227131641e-05
transported,1,1.14113565821e-05
eminent,1,1.14113565821e-05
acquaintance,1,1.14113565821e-05
invested,1,1.14113565821e-05
rolling,3,3.42340697462e-05
reorganization,26,0.000296695271134
time,130,0.00148347635567
conferred,2,2.28227131641e-05
disorganization,1,1.14113565821e-05
breadth,1,1.14113565821e-05
irrigation,1,1.14113565821e-05
chain,2,2.28227131641e-05
whoever,1,1.14113565821e-05
canalization,1,1.14113565821e-05
revisory,1,1.14113565821e-05
amplification,1,1.14113565821e-05
recurrence,2,2.28227131641e-05
prolonging,1,1.14113565821e-05
platitudes,1,1.14113565821e-05
