word,count,relative_use
writings,1,6.35424940429e-06
four,14,8.895949166e-05
aegis,1,6.35424940429e-06
aggression,5,3.17712470214e-05
looking,3,1.90627482129e-05
granting,6,3.81254964257e-05
withernam,1,6.35424940429e-06
refunding,2,1.27084988086e-05
sinking,6,3.81254964257e-05
treasuries,1,6.35424940429e-06
stipulate,1,6.35424940429e-06
appropriation,44,0.000279586973789
bringing,8,5.08339952343e-05
advices,5,3.17712470214e-05
disturb,9,5.71882446386e-05
recollections,3,1.90627482129e-05
prize,1,6.35424940429e-06
wooden,1,6.35424940429e-06
turpitude,1,6.35424940429e-06
antecedently,1,6.35424940429e-06
succession,2,1.27084988086e-05
immunities,1,6.35424940429e-06
charter,61,0.000387609213662
infringed,1,6.35424940429e-06
rebuilding,1,6.35424940429e-06
cordially,2,1.27084988086e-05
appropriated,6,3.81254964257e-05
second,14,8.895949166e-05
sustaining,6,3.81254964257e-05
sailed,1,6.35424940429e-06
inanimate,1,6.35424940429e-06
errors,5,3.17712470214e-05
ruthless,1,6.35424940429e-06
contributed,5,3.17712470214e-05
designing,6,3.81254964257e-05
increasing,23,0.000146147736299
inducement,3,1.90627482129e-05
misjudged,1,6.35424940429e-06
over-balance,2,1.27084988086e-05
offenses,3,1.90627482129e-05
here,36,0.000228752978554
reported,5,3.17712470214e-05
china,1,6.35424940429e-06
hers,1,6.35424940429e-06
substance,4,2.54169976172e-05
pretensions,7,4.447974583e-05
reports,8,5.08339952343e-05
controversy,17,0.000108022239873
military,43,0.000273232724384
cheerfully,10,6.35424940429e-05
appropriately,1,6.35424940429e-06
divide,2,1.27084988086e-05
classification,2,1.27084988086e-05
explained,6,3.81254964257e-05
brought,37,0.000235107227959
remnant,5,3.17712470214e-05
debased,1,6.35424940429e-06
apportionment,3,1.90627482129e-05
dispatches,3,1.90627482129e-05
impartiality,2,1.27084988086e-05
exhort,1,6.35424940429e-06
occupying,1,6.35424940429e-06
reverenced,1,6.35424940429e-06
therefore,133,0.00084511517077
strike,3,1.90627482129e-05
until,74,0.000470214455917
menaces,1,6.35424940429e-06
successful,18,0.000114376489277
brings,2,1.27084988086e-05
hereby,9,5.71882446386e-05
midst,6,3.81254964257e-05
hold,12,7.62509928515e-05
circumstances,64,0.000406671961875
morally,1,6.35424940429e-06
pursue,14,8.895949166e-05
famed,1,6.35424940429e-06
accomplishment,5,3.17712470214e-05
re-eligibility,1,6.35424940429e-06
revenues,8,5.08339952343e-05
example,12,7.62509928515e-05
triple,1,6.35424940429e-06
unjust,12,7.62509928515e-05
artillery,4,2.54169976172e-05
organized,20,0.000127084988086
frown,1,6.35424940429e-06
currency,55,0.000349483717236
caution,10,6.35424940429e-05
kingdoms,2,1.27084988086e-05
want,14,8.895949166e-05
absolute,10,6.35424940429e-05
provincial,1,6.35424940429e-06
unpaid,1,6.35424940429e-06
travel,1,6.35424940429e-06
feature,4,2.54169976172e-05
[--]i,1,6.35424940429e-06
machine,1,6.35424940429e-06
how,27,0.000171564733916
louisville,3,1.90627482129e-05
hos,1,6.35424940429e-06
disgrace,4,2.54169976172e-05
beauty,1,6.35424940429e-06
misunderstanding,1,6.35424940429e-06
shores,1,6.35424940429e-06
wrong,12,7.62509928515e-05
destined,4,2.54169976172e-05
effective,4,2.54169976172e-05
scourge,1,6.35424940429e-06
revolt,1,6.35424940429e-06
headquarters,1,6.35424940429e-06
presiding,1,6.35424940429e-06
orally,1,6.35424940429e-06
wind,1,6.35424940429e-06
restriction,13,8.26052422558e-05
concurrence,9,5.71882446386e-05
govern,9,5.71882446386e-05
prohibition,1,6.35424940429e-06
fidelity,8,5.08339952343e-05
fit,7,4.447974583e-05
unforeseen,1,6.35424940429e-06
heretofore,43,0.000273232724384
fix,5,3.17712470214e-05
auditors,1,6.35424940429e-06
secede,5,3.17712470214e-05
anticipations,4,2.54169976172e-05
endeavoring,2,1.27084988086e-05
admirable,1,6.35424940429e-06
enrich,1,6.35424940429e-06
vouchers,2,1.27084988086e-05
renunciation,1,6.35424940429e-06
effects,26,0.000165210484512
interrupt,5,3.17712470214e-05
over-rated,1,6.35424940429e-06
sixteen,2,1.27084988086e-05
silver,11,6.98967434472e-05
represents,1,6.35424940429e-06
crops,1,6.35424940429e-06
averse,1,6.35424940429e-06
beforehand,1,6.35424940429e-06
simplified,1,6.35424940429e-06
uninfluenced,2,1.27084988086e-05
preceded,2,1.27084988086e-05
financial,5,3.17712470214e-05
concord,2,1.27084988086e-05
series,3,1.90627482129e-05
unlawfully,1,6.35424940429e-06
contracting,1,6.35424940429e-06
depositing,1,6.35424940429e-06
substantially,8,5.08339952343e-05
liberty--free,1,6.35424940429e-06
borne,5,3.17712470214e-05
misfortune,1,6.35424940429e-06
convenience,11,6.98967434472e-05
encourage,7,4.447974583e-05
adapt,2,1.27084988086e-05
engineer,4,2.54169976172e-05
exaction,3,1.90627482129e-05
misrepresentations,1,6.35424940429e-06
foundation,5,3.17712470214e-05
assured,2,1.27084988086e-05
threatened,6,3.81254964257e-05
surveys,5,3.17712470214e-05
faculties,3,1.90627482129e-05
crowned,9,5.71882446386e-05
estimate,7,4.447974583e-05
obstructing,2,1.27084988086e-05
universally,3,1.90627482129e-05
silent,5,3.17712470214e-05
enormous,1,6.35424940429e-06
star-spangled,1,6.35424940429e-06
absolved,2,1.27084988086e-05
disturbed,3,1.90627482129e-05
speedy,16,0.000101667990469
repealed,9,5.71882446386e-05
subtlety,1,6.35424940429e-06
channels,5,3.17712470214e-05
instruct,2,1.27084988086e-05
re-issue,3,1.90627482129e-05
specially,3,1.90627482129e-05
seizures,6,3.81254964257e-05
service,79,0.000501985702939
replevin,7,4.447974583e-05
engagement,4,2.54169976172e-05
needed,3,1.90627482129e-05
master,1,6.35424940429e-06
recent,19,0.000120730738681
bitter,1,6.35424940429e-06
listen,1,6.35424940429e-06
danish,2,1.27084988086e-05
rewards,4,2.54169976172e-05
bounty,6,3.81254964257e-05
wisdom,27,0.000171564733916
rectified,1,6.35424940429e-06
freemen,4,2.54169976172e-05
expanding,2,1.27084988086e-05
peril,2,1.27084988086e-05
showed,1,6.35424940429e-06
nations,100,0.000635424940429
project,3,1.90627482129e-05
friend,8,5.08339952343e-05
feeling,13,8.26052422558e-05
acquisition,5,3.17712470214e-05
willingness,3,1.90627482129e-05
resignations,1,6.35424940429e-06
rechartering,3,1.90627482129e-05
affairs,51,0.000324066719619
wholesome,2,1.27084988086e-05
responsible,36,0.000228752978554
metallic,1,6.35424940429e-06
recommended,25,0.000158856235107
causing,1,6.35424940429e-06
doors,4,2.54169976172e-05
concedes,2,1.27084988086e-05
committing,1,6.35424940429e-06
shall,292,0.00185544082605
object,74,0.000470214455917
diminishing,3,1.90627482129e-05
affirmation,4,2.54169976172e-05
reverence,5,3.17712470214e-05
conceded,19,0.000120730738681
redressing,1,6.35424940429e-06
morality,1,6.35424940429e-06
confederation,11,6.98967434472e-05
nineteenth,2,1.27084988086e-05
incomplete,1,6.35424940429e-06
incorporate,2,1.27084988086e-05
departing,3,1.90627482129e-05
nominated,2,1.27084988086e-05
undue,4,2.54169976172e-05
participate,6,3.81254964257e-05
tempted,6,3.81254964257e-05
cheaply,1,6.35424940429e-06
effo,1,6.35424940429e-06
lessons,6,3.81254964257e-05
busy,1,6.35424940429e-06
vexations,1,6.35424940429e-06
liberated,1,6.35424940429e-06
than,257,0.0016330420969
rico,2,1.27084988086e-05
touched,1,6.35424940429e-06
rich,10,6.35424940429e-05
heartily,1,6.35424940429e-06
rice,4,2.54169976172e-05
emphatically,2,1.27084988086e-05
remotest,2,1.27084988086e-05
inoperative,2,1.27084988086e-05
terrors,2,1.27084988086e-05
reversal,1,6.35424940429e-06
altogether,9,5.71882446386e-05
contributes,2,1.27084988086e-05
adherence,5,3.17712470214e-05
sanctioning,1,6.35424940429e-06
hasten,3,1.90627482129e-05
respond,2,1.27084988086e-05
fair,22,0.000139793486894
expediency,16,0.000101667990469
consummation,3,1.90627482129e-05
transferred,18,0.000114376489277
unexpectedly,2,1.27084988086e-05
bled,1,6.35424940429e-06
result,67,0.000425734710087
fail,22,0.000139793486894
resigned,1,6.35424940429e-06
best,70,0.0004447974583
avert,4,2.54169976172e-05
solicitude,16,0.000101667990469
stealthy,1,6.35424940429e-06
stamps,2,1.27084988086e-05
score,1,6.35424940429e-06
unalterable,2,1.27084988086e-05
preserve,43,0.000273232724384
men,37,0.000235107227959
extend,25,0.000158856235107
nature,52,0.000330420969023
ask,9,5.71882446386e-05
abstains,2,1.27084988086e-05
authorizing,18,0.000114376489277
extent,58,0.000368546465449
defiance,3,1.90627482129e-05
debt,86,0.000546465448769
tyranny,2,1.27084988086e-05
accident,1,6.35424940429e-06
sacrificing,1,6.35424940429e-06
country,301,0.00191262907069
adventurer,1,6.35424940429e-06
demanded,13,8.26052422558e-05
estates,1,6.35424940429e-06
sublime,7,4.447974583e-05
installments,13,8.26052422558e-05
argue,2,1.27084988086e-05
adapted,6,3.81254964257e-05
asked,15,9.53137410643e-05
fearlessly,1,6.35424940429e-06
eradicate,1,6.35424940429e-06
twenty-three,1,6.35424940429e-06
vain,16,0.000101667990469
unprotected,3,1.90627482129e-05
union,193,0.00122637013503
advert,2,1.27084988086e-05
much,118,0.000749801429706
privilege,17,0.000108022239873
ascribing,1,6.35424940429e-06
incompetent,4,2.54169976172e-05
life,23,0.000146147736299
co-states,1,6.35424940429e-06
eastern,14,8.895949166e-05
freehold,1,6.35424940429e-06
wish,19,0.000120730738681
moneys,27,0.000171564733916
chile,2,1.27084988086e-05
doubts,3,1.90627482129e-05
evasions,1,6.35424940429e-06
worked,1,6.35424940429e-06
unsold,1,6.35424940429e-06
impoverished,2,1.27084988086e-05
contemplated,10,6.35424940429e-05
administrative,1,6.35424940429e-06
contingencies,5,3.17712470214e-05
employ,14,8.895949166e-05
contemplates,2,1.27084988086e-05
unfelt,2,1.27084988086e-05
wonted,1,6.35424940429e-06
prostrate,2,1.27084988086e-05
sea-board,4,2.54169976172e-05
congratulation,2,1.27084988086e-05
equator,1,6.35424940429e-06
actuated,6,3.81254964257e-05
characterize,3,1.90627482129e-05
levied,8,5.08339952343e-05
trusted,1,6.35424940429e-06
memorial,1,6.35424940429e-06
severity,2,1.27084988086e-05
tranquillized,1,6.35424940429e-06
things,23,0.000146147736299
enlistment,1,6.35424940429e-06
harmony,26,0.000165210484512
principals,1,6.35424940429e-06
european,6,3.81254964257e-05
exertion,4,2.54169976172e-05
voyages,2,1.27084988086e-05
qualifications,2,1.27084988086e-05
dexterous,1,6.35424940429e-06
marched,1,6.35424940429e-06
intrusion,3,1.90627482129e-05
peremptory,1,6.35424940429e-06
vice-president,5,3.17712470214e-05
maxims,2,1.27084988086e-05
corporate,6,3.81254964257e-05
redeliver,1,6.35424940429e-06
opinions,31,0.000196981731533
capitol,1,6.35424940429e-06
misconstruction,2,1.27084988086e-05
distribute,6,3.81254964257e-05
subjoined,1,6.35424940429e-06
beset,1,6.35424940429e-06
disguise,3,1.90627482129e-05
sovereigns,1,6.35424940429e-06
rushing,1,6.35424940429e-06
succeeding,5,3.17712470214e-05
previous,12,7.62509928515e-05
enters,1,6.35424940429e-06
subtracts,1,6.35424940429e-06
over-issues,1,6.35424940429e-06
ease,4,2.54169976172e-05
had,273,0.00173471008737
advancement,4,2.54169976172e-05
disparity,1,6.35424940429e-06
obedient,2,1.27084988086e-05
beloved,11,6.98967434472e-05
has,723,0.0045941223193
elevation,1,6.35424940429e-06
municipal,1,6.35424940429e-06
disagreement,1,6.35424940429e-06
possible,39,0.000247815726767
firmer,1,6.35424940429e-06
unequivocally,1,6.35424940429e-06
indicative,3,1.90627482129e-05
birth,3,1.90627482129e-05
shadow,1,6.35424940429e-06
occurring,2,1.27084988086e-05
desire,50,0.000317712470214
elude,1,6.35424940429e-06
specie,8,5.08339952343e-05
remind,3,1.90627482129e-05
misled,3,1.90627482129e-05
steps,22,0.000139793486894
misdemeanors,3,1.90627482129e-05
effusion,1,6.35424940429e-06
beneficial,24,0.000152501985703
right,164,0.0010420969023
old,19,0.000120730738681
creek,4,2.54169976172e-05
crowd,1,6.35424940429e-06
people,378,0.00240190627482
creed,3,1.90627482129e-05
crown,2,1.27084988086e-05
begin,1,6.35424940429e-06
choctaw,5,3.17712470214e-05
animate,2,1.27084988086e-05
enemies,5,3.17712470214e-05
for,1217,0.00773312152502
fox,2,1.27084988086e-05
contributing,4,2.54169976172e-05
foe,3,1.90627482129e-05
continue,47,0.000298649722002
exposition,6,3.81254964257e-05
ever-living,1,6.35424940429e-06
substitutes,2,1.27084988086e-05
substituted,7,4.447974583e-05
losing,2,1.27084988086e-05
capacious,1,6.35424940429e-06
manufacturing,6,3.81254964257e-05
shaken,1,6.35424940429e-06
dollars,3,1.90627482129e-05
citizens,192,0.00122001588562
anomalous,3,1.90627482129e-05
recollect,2,1.27084988086e-05
despair,1,6.35424940429e-06
meddle,1,6.35424940429e-06
raised,15,9.53137410643e-05
statements,3,1.90627482129e-05
facility,10,6.35424940429e-05
infraction,2,1.27084988086e-05
son,1,6.35424940429e-06
administer,4,2.54169976172e-05
thankful,1,6.35424940429e-06
one-fourth,2,1.27084988086e-05
magazines,2,1.27084988086e-05
consummated,2,1.27084988086e-05
sow,1,6.35424940429e-06
stockholder,1,6.35424940429e-06
reducing,6,3.81254964257e-05
authorizes,5,3.17712470214e-05
fabric,2,1.27084988086e-05
support,74,0.000470214455917
constantly,13,8.26052422558e-05
knowing,5,3.17712470214e-05
common-law,1,6.35424940429e-06
avail,4,2.54169976172e-05
impracticability,3,1.90627482129e-05
authorized,42,0.00026687847498
resulted,9,5.71882446386e-05
halls,2,1.27084988086e-05
happy,37,0.000235107227959
therefrom,4,2.54169976172e-05
offer,16,0.000101667990469
magnificent,1,6.35424940429e-06
conclusively,2,1.27084988086e-05
remarking,1,6.35424940429e-06
talents,8,5.08339952343e-05
incorporation,7,4.447974583e-05
safeguard,3,1.90627482129e-05
humbled,1,6.35424940429e-06
extremity,1,6.35424940429e-06
prosecutions,3,1.90627482129e-05
considered,54,0.000343129467832
unanimous,2,1.27084988086e-05
lays,1,6.35424940429e-06
dues,5,3.17712470214e-05
examples,4,2.54169976172e-05
adopt,12,7.62509928515e-05
liberal,55,0.000349483717236
extenuated,1,6.35424940429e-06
