word,count,relative_use
sitters,1,7.41641698063e-06
foul,1,7.41641698063e-06
four,36,0.000266991011303
gavan,1,7.41641698063e-06
hanging,1,7.41641698063e-06
cyprus,1,7.41641698063e-06
aggression,22,0.000163161173574
marching,3,2.22492509419e-05
increase,96,0.00071197603014
seventy-seven,1,7.41641698063e-06
granting,3,2.22492509419e-05
eligible,5,3.70820849031e-05
pre-eminence,1,7.41641698063e-06
unanswered,2,1.48328339613e-05
ideas--through,1,7.41641698063e-06
lord,4,2.96656679225e-05
protestants,2,1.48328339613e-05
beget,1,7.41641698063e-06
regional,8,5.9331335845e-05
appropriation,3,2.22492509419e-05
hostility--if,1,7.41641698063e-06
classifications,1,7.41641698063e-06
bringing,6,4.44985018838e-05
disturb,2,1.48328339613e-05
internally,2,1.48328339613e-05
scholar,2,1.48328339613e-05
piling,1,7.41641698063e-06
cities-america's,1,7.41641698063e-06
succession,1,7.41641698063e-06
steadfastness,1,7.41641698063e-06
commented,1,7.41641698063e-06
guardsmen,1,7.41641698063e-06
charter,17,0.000126079088671
specially,1,7.41641698063e-06
tired,3,2.22492509419e-05
miller,1,7.41641698063e-06
bacon,1,7.41641698063e-06
holocaust,3,2.22492509419e-05
feasibility,1,7.41641698063e-06
second,39,0.000289240262245
sustaining,1,7.41641698063e-06
consenting,1,7.41641698063e-06
sailed,1,7.41641698063e-06
sterile,2,1.48328339613e-05
solvent,1,7.41641698063e-06
errors,2,1.48328339613e-05
ruthless,1,7.41641698063e-06
costs--but,1,7.41641698063e-06
contributed,6,4.44985018838e-05
fingers,1,7.41641698063e-06
resuits,1,7.41641698063e-06
resilient,1,7.41641698063e-06
increasing,30,0.000222492509419
admiral,7,5.19149188644e-05
inducement,2,1.48328339613e-05
specialist,1,7.41641698063e-06
agreement,37,0.000274407428283
avert,1,7.41641698063e-06
leaning,1,7.41641698063e-06
interdependent,3,2.22492509419e-05
here,161,0.00119404313388
reported,3,2.22492509419e-05
china,21,0.000155744756593
burgesses,1,7.41641698063e-06
substance,4,2.96656679225e-05
unwillingness,1,7.41641698063e-06
reactivated,1,7.41641698063e-06
reports,3,2.22492509419e-05
controversy,4,2.96656679225e-05
day-general,1,7.41641698063e-06
military,130,0.000964134207482
i'm,43,0.000318905930167
criticism,4,2.96656679225e-05
golden,3,2.22492509419e-05
divide,5,3.70820849031e-05
replace,6,4.44985018838e-05
brought,14,0.000103829837729
unit,2,1.48328339613e-05
opponents,3,2.22492509419e-05
cheating,1,7.41641698063e-06
spoke,6,4.44985018838e-05
overshadow,1,7.41641698063e-06
statesmanship,1,7.41641698063e-06
music,2,1.48328339613e-05
therefore,122,0.000904802871637
strike,5,3.70820849031e-05
sermons,1,7.41641698063e-06
until,39,0.000289240262245
expiring,1,7.41641698063e-06
standardized,1,7.41641698063e-06
populations,1,7.41641698063e-06
successful,16,0.00011866267169
brings,5,3.70820849031e-05
unions--and,1,7.41641698063e-06
tying,1,7.41641698063e-06
desirable--that,2,1.48328339613e-05
hold,28,0.000207659675458
circumstances,3,2.22492509419e-05
pursue,8,5.9331335845e-05
accomplishment,1,7.41641698063e-06
rulings,2,1.48328339613e-05
itself,39,0.000289240262245
concepts,7,5.19149188644e-05
revenues,20,0.000148328339613
'broke,1,7.41641698063e-06
example,32,0.00023732534338
triple,2,1.48328339613e-05
wane,1,7.41641698063e-06
household,2,1.48328339613e-05
artillery,1,7.41641698063e-06
organized,11,8.15805867869e-05
currency,3,2.22492509419e-05
caution,3,2.22492509419e-05
british,5,3.70820849031e-05
want,125,0.000927052122579
counseling,1,7.41641698063e-06
world--if,1,7.41641698063e-06
absolute,10,7.41641698063e-05
aggressor's,1,7.41641698063e-06
provincial,1,7.41641698063e-06
complaining,1,7.41641698063e-06
travel,5,3.70820849031e-05
feature,1,7.41641698063e-06
machine,2,1.48328339613e-05
how,54,0.000400486516954
hot,5,3.70820849031e-05
significance,9,6.67477528257e-05
harlan,1,7.41641698063e-06
preferable,1,7.41641698063e-06
fanaticism,1,7.41641698063e-06
oceans,3,2.22492509419e-05
beauty,3,2.22492509419e-05
shores,8,5.9331335845e-05
wrong,15,0.000111246254709
destined,2,1.48328339613e-05
types,9,6.67477528257e-05
entrusted,2,1.48328339613e-05
evil--and,1,7.41641698063e-06
effective,42,0.000311489513186
scourge,1,7.41641698063e-06
ho-,1,7.41641698063e-06
revolt,3,2.22492509419e-05
headquarters,1,7.41641698063e-06
presiding,1,7.41641698063e-06
cigarettes,2,1.48328339613e-05
unlawfully,1,7.41641698063e-06
democratic,26,0.000192826841496
wing,2,1.48328339613e-05
wind,4,2.96656679225e-05
restriction,1,7.41641698063e-06
welcomed,4,2.96656679225e-05
govern,5,3.70820849031e-05
stockpiles,3,2.22492509419e-05
fidelity,1,7.41641698063e-06
wrought,2,1.48328339613e-05
fit,6,4.44985018838e-05
self-appointed,1,7.41641698063e-06
heretofore,1,7.41641698063e-06
fix,1,7.41641698063e-06
occupations,1,7.41641698063e-06
survivors,2,1.48328339613e-05
rejecting,2,1.48328339613e-05
narrowest,1,7.41641698063e-06
dedicate,1,7.41641698063e-06
hidden,1,7.41641698063e-06
admirable,1,7.41641698063e-06
easier,3,2.22492509419e-05
undercut,1,7.41641698063e-06
renounces,1,7.41641698063e-06
commemorate,1,7.41641698063e-06
educating,1,7.41641698063e-06
strong--this,1,7.41641698063e-06
effects,6,4.44985018838e-05
schools,25,0.000185410424516
sixteen,2,1.48328339613e-05
eisenhower,15,0.000111246254709
needfor,1,7.41641698063e-06
structural,2,1.48328339613e-05
represents,14,0.000103829837729
skills,13,9.64134207482e-05
interfering,1,7.41641698063e-06
expectancy,1,7.41641698063e-06
neocolonialism,1,7.41641698063e-06
financial,11,8.15805867869e-05
system--to,1,7.41641698063e-06
series,13,9.64134207482e-05
we'd,2,1.48328339613e-05
reentering,1,7.41641698063e-06
substantially,11,8.15805867869e-05
ameliorate,1,7.41641698063e-06
truman,12,8.89970037675e-05
blinded,1,7.41641698063e-06
borne,2,1.48328339613e-05
gradation,1,7.41641698063e-06
encourage,21,0.000155744756593
adapt,2,1.48328339613e-05
appreciably,1,7.41641698063e-06
engineer,2,1.48328339613e-05
foundation,5,3.70820849031e-05
assured,9,6.67477528257e-05
canaveral,3,2.22492509419e-05
threatened,6,4.44985018838e-05
surveys,1,7.41641698063e-06
nation-must,1,7.41641698063e-06
managerial,1,7.41641698063e-06
assures,1,7.41641698063e-06
faculties,1,7.41641698063e-06
