word,count,relative_use
foul,1,1.05309715874e-05
four,21,0.000221150403336
prices,1,1.05309715874e-05
hanging,2,2.10619431749e-05
aggression,1,1.05309715874e-05
looking,3,3.15929147623e-05
granting,2,2.10619431749e-05
pre-eminence,2,2.10619431749e-05
originality,2,2.10619431749e-05
refunding,1,1.05309715874e-05
lord,5,5.26548579372e-05
appropriation,12,0.000126371659049
bringing,9,9.47787442869e-05
disturb,4,4.21238863498e-05
prize,3,3.15929147623e-05
question---the,1,1.05309715874e-05
succession,7,7.37168011121e-05
immunities,3,3.15929147623e-05
straight,3,3.15929147623e-05
matter---to,1,1.05309715874e-05
representatives---being,1,1.05309715874e-05
cordially,2,2.10619431749e-05
elegant,3,3.15929147623e-05
second,14,0.000147433602224
sustaining,1,1.05309715874e-05
ruthless,4,4.21238863498e-05
thunder,1,1.05309715874e-05
contributed,2,2.10619431749e-05
subject--a,1,1.05309715874e-05
localized,1,1.05309715874e-05
increasing,11,0.000115840687462
admiral,1,1.05309715874e-05
shocks,2,2.10619431749e-05
gentiles,2,2.10619431749e-05
offenses,3,3.15929147623e-05
here,55,0.000579203437309
reported,8,8.42477726995e-05
china,6,6.31858295246e-05
substance,9,9.47787442869e-05
elaborate,1,1.05309715874e-05
deferring,2,2.10619431749e-05
reports,7,7.37168011121e-05
controversy,27,0.000284336232861
they---establish,1,1.05309715874e-05
military,37,0.000389645948735
criticism,2,2.10619431749e-05
appropriately,2,2.10619431749e-05
divide,8,8.42477726995e-05
brought,37,0.000389645948735
forbore,2,2.10619431749e-05
opponents,13,0.000136902630637
spoke,7,7.37168011121e-05
tardiness,2,2.10619431749e-05
insecurity,1,1.05309715874e-05
impartiality,1,1.05309715874e-05
inevitable,1,1.05309715874e-05
occupying,1,1.05309715874e-05
therefore,35,0.00036858400556
until,16,0.000168495545399
menaces,1,1.05309715874e-05
successful,10,0.000105309715874
brings,5,5.26548579372e-05
hereby,2,2.10619431749e-05
canonized,2,2.10619431749e-05
hurt,2,2.10619431749e-05
menaced,2,2.10619431749e-05
midst,4,4.21238863498e-05
hold,30,0.000315929147623
mentionedwhat,1,1.05309715874e-05
circumstances,16,0.000168495545399
pursue,1,1.05309715874e-05
famed,2,2.10619431749e-05
accomplishment,1,1.05309715874e-05
revenues,3,3.15929147623e-05
example,8,8.42477726995e-05
unjust,7,7.37168011121e-05
household,2,2.10619431749e-05
organized,22,0.000231681374924
currency,7,7.37168011121e-05
caution,1,1.05309715874e-05
want,11,0.000115840687462
absolute,7,7.37168011121e-05
hog,4,4.21238863498e-05
unpaid,2,2.10619431749e-05
hon,2,2.10619431749e-05
feature,1,1.05309715874e-05
how,56,0.000589734408897
hot,4,4.21238863498e-05
significance,3,3.15929147623e-05
preferable,1,1.05309715874e-05
twenty-third,3,3.15929147623e-05
shores,1,1.05309715874e-05
wrong,41,0.000431769835085
types,2,2.10619431749e-05
provision-that,1,1.05309715874e-05
sioux,1,1.05309715874e-05
effective,10,0.000105309715874
scourge,1,1.05309715874e-05
revolt,5,5.26548579372e-05
lieutenant-general,2,2.10619431749e-05
keeps,2,2.10619431749e-05
democratic,1,1.05309715874e-05
wing,2,2.10619431749e-05
restriction,21,0.000221150403336
freedom---the,1,1.05309715874e-05
concurrence,3,3.15929147623e-05
confederate,2,2.10619431749e-05
fidelity,3,3.15929147623e-05
wrought,1,1.05309715874e-05
web-feet,2,2.10619431749e-05
fit,9,9.47787442869e-05
unforeseen,2,2.10619431749e-05
heretofore,17,0.000179026516986
fix,4,4.21238863498e-05
occupations,1,1.05309715874e-05
secede,6,6.31858295246e-05
narrowest,2,2.10619431749e-05
matured,3,3.15929147623e-05
easier,7,7.37168011121e-05
commemorate,2,2.10619431749e-05
effects,3,3.15929147623e-05
actnow,2,2.10619431749e-05
undeveloped,1,1.05309715874e-05
silver,1,1.05309715874e-05
not---cannot,1,1.05309715874e-05
expectancy,1,1.05309715874e-05
preceded,2,2.10619431749e-05
financial,7,7.37168011121e-05
whig,5,5.26548579372e-05
substantially,9,9.47787442869e-05
state---that,1,1.05309715874e-05
message,9,9.47787442869e-05
borne,4,4.21238863498e-05
toleration,2,2.10619431749e-05
sailor---that,1,1.05309715874e-05
excepting,3,3.15929147623e-05
mason,1,1.05309715874e-05
encourage,1,1.05309715874e-05
adapt,1,1.05309715874e-05
cheerfully,5,5.26548579372e-05
misrepresentations,1,1.05309715874e-05
foundation,4,4.21238863498e-05
assured,2,2.10619431749e-05
wavered,2,2.10619431749e-05
threatened,3,3.15929147623e-05
fugitive,13,0.000136902630637
checked,1,1.05309715874e-05
estimate,11,0.000115840687462
universally,2,2.10619431749e-05
custom-houses,1,1.05309715874e-05
disturbed,7,7.37168011121e-05
speedy,5,5.26548579372e-05
reserving,1,1.05309715874e-05
repealed,6,6.31858295246e-05
charter,4,4.21238863498e-05
channels,2,2.10619431749e-05
wash,6,6.31858295246e-05
instruct,1,1.05309715874e-05
alienage,1,1.05309715874e-05
specially,1,1.05309715874e-05
service,50,0.000526548579372
needed,16,0.000168495545399
master,5,5.26548579372e-05
bitter,2,2.10619431749e-05
listen,1,1.05309715874e-05
equal'this,2,2.10619431749e-05
bounty,1,1.05309715874e-05
wisdom,9,9.47787442869e-05
freemen,7,7.37168011121e-05
peril,5,5.26548579372e-05
outlay,1,1.05309715874e-05
showed,6,6.31858295246e-05
tree,2,2.10619431749e-05
nations,29,0.000305398176036
project,6,6.31858295246e-05
endure,6,6.31858295246e-05
feeling,19,0.000200088460161
acquisition,14,0.000147433602224
unintended,1,1.05309715874e-05
willingness,1,1.05309715874e-05
broods,1,1.05309715874e-05
notwithstanding,7,7.37168011121e-05
benighted,2,2.10619431749e-05
dozen,2,2.10619431749e-05
affairs,19,0.000200088460161
responsible,18,0.000189557488574
gripe,2,2.10619431749e-05
recommended,4,4.21238863498e-05
causing,2,2.10619431749e-05
absorbed,1,1.05309715874e-05
committing,1,1.05309715874e-05
shall,221,0.00232734472082
object,40,0.000421238863498
diminishing,2,2.10619431749e-05
toil,2,2.10619431749e-05
affirmation,3,3.15929147623e-05
mouth,5,5.26548579372e-05
letter,11,0.000115840687462
conceded,1,1.05309715874e-05
morality,1,1.05309715874e-05
confederation,6,6.31858295246e-05
fugitives,6,6.31858295246e-05
senators---each,1,1.05309715874e-05
incomplete,2,2.10619431749e-05
saying,7,7.37168011121e-05
meetings,2,2.10619431749e-05
nominated,1,1.05309715874e-05
undue,1,1.05309715874e-05
participate,2,2.10619431749e-05
tempted,3,3.15929147623e-05
orleans,4,4.21238863498e-05
touches,2,2.10619431749e-05
liberated,3,3.15929147623e-05
behrings,1,1.05309715874e-05
