word,count,relative_use
aided,3,5.99904015358e-05
chile,2,3.99936010238e-05
augustine,5,9.99840025596e-05
limited,4,7.99872020477e-05
consolidated,1,1.99968005119e-05
comparatively,1,1.99968005119e-05
desirable,10,0.000199968005119
monte,1,1.99968005119e-05
yellow,2,3.99936010238e-05
facilities,1,1.99968005119e-05
nursery,1,1.99968005119e-05
perverted,1,1.99968005119e-05
wholly,2,3.99936010238e-05
saved,1,1.99968005119e-05
assembled,3,5.99904015358e-05
aggression,1,1.99968005119e-05
undisputed,1,1.99968005119e-05
increase,9,0.000179971204607
effectually,1,1.99968005119e-05
granting,1,1.99968005119e-05
obstructions,1,1.99968005119e-05
paris,3,5.99904015358e-05
indulged,2,3.99936010238e-05
hordes,1,1.99968005119e-05
seriously,3,5.99904015358e-05
james,1,1.99968005119e-05
invaders,1,1.99968005119e-05
bays,2,3.99936010238e-05
under,111,0.00221964485682
teaching,1,1.99968005119e-05
pride,2,3.99936010238e-05
youngest,1,1.99968005119e-05
supreme,6,0.000119980803072
sinking,4,7.99872020477e-05
nourishes,1,1.99968005119e-05
invariable,2,3.99936010238e-05
cruising,1,1.99968005119e-05
rescue,1,1.99968005119e-05
dispense,1,1.99968005119e-05
desired,7,0.000139977603583
rise,4,7.99872020477e-05
contravention,1,1.99968005119e-05
subserved,1,1.99968005119e-05
appropriation,13,0.000259958406655
every,138,0.00275955847064
gratification,3,5.99904015358e-05
govern,1,1.99968005119e-05
affect,5,9.99840025596e-05
bringing,2,3.99936010238e-05
vast,26,0.00051991681331
school,1,1.99968005119e-05
recollections,1,1.99968005119e-05
internally,1,1.99968005119e-05
reciprocal,5,9.99840025596e-05
executing,2,3.99936010238e-05
cause,46,0.000919852823548
companies,2,3.99936010238e-05
extinguishment,2,3.99936010238e-05
woods,1,1.99968005119e-05
assurance,1,1.99968005119e-05
judicial,1,1.99968005119e-05
enhance,2,3.99936010238e-05
shows,1,1.99968005119e-05
deplorable,1,1.99968005119e-05
petersburg,4,7.99872020477e-05
triumph,1,1.99968005119e-05
enjoy,10,0.000199968005119
expanded,1,1.99968005119e-05
force,69,0.00137977923532
specially,2,3.99936010238e-05
construed,1,1.99968005119e-05
consistent,5,9.99840025596e-05
welfare,9,0.000179971204607
surmounting,1,1.99968005119e-05
direct,7,0.000139977603583
appropriated,8,0.000159974404095
insult,1,1.99968005119e-05
second,2,3.99936010238e-05
attended,9,0.000179971204607
sustaining,5,9.99840025596e-05
estimated,20,0.000399936010238
even,27,0.000539913613822
established,17,0.000339945608703
errors,2,3.99936010238e-05
incompatible,1,1.99968005119e-05
desirous,2,3.99936010238e-05
contributed,4,7.99872020477e-05
supplied,2,3.99936010238e-05
consequent,1,1.99968005119e-05
provident,1,1.99968005119e-05
above,7,0.000139977603583
conduct,21,0.00041993281075
new,44,0.000879859222524
increasing,7,0.000139977603583
ever,7,0.000139977603583
consisting,5,9.99840025596e-05
seeks,1,1.99968005119e-05
pressed,1,1.99968005119e-05
proportionably,6,0.000119980803072
deemed,10,0.000199968005119
dispatched,3,5.99904015358e-05
avert,1,1.99968005119e-05
whose,16,0.000319948808191
seventh,2,3.99936010238e-05
men,11,0.000219964805631
here,9,0.000179971204607
met,4,7.99872020477e-05
protection,38,0.000759878419453
pursuit,3,5.99904015358e-05
wonted,1,1.99968005119e-05
represented,2,3.99936010238e-05
path,1,1.99968005119e-05
growing,2,3.99936010238e-05
violate,1,1.99968005119e-05
obtained,14,0.000279955207167
prussia,4,7.99872020477e-05
property,11,0.000219964805631
rests,5,9.99840025596e-05
pretensions,3,5.99904015358e-05
study,1,1.99968005119e-05
changed,2,3.99936010238e-05
envoy,4,7.99872020477e-05
reports,6,0.000119980803072
controversy,3,5.99904015358e-05
credit,4,7.99872020477e-05
calculations,1,1.99968005119e-05
abolition,1,1.99968005119e-05
permit,4,7.99872020477e-05
military,28,0.000559910414334
adopting,1,1.99968005119e-05
suitable,9,0.000179971204607
settled,14,0.000279955207167
subjected,2,3.99936010238e-05
mutual,5,9.99840025596e-05
cheerfully,1,1.99968005119e-05
secure,10,0.000199968005119
campaign,3,5.99904015358e-05
inexhaustible,1,1.99968005119e-05
belongs,3,5.99904015358e-05
explained,2,3.99936010238e-05
inflicting,1,1.99968005119e-05
perpetuated,1,1.99968005119e-05
highly,11,0.000219964805631
brought,11,0.000219964805631
shun,1,1.99968005119e-05
dauphin,1,1.99968005119e-05
medium,2,3.99936010238e-05
total,2,3.99936010238e-05
receivable,1,1.99968005119e-05
devastation,1,1.99968005119e-05
cherishing,2,3.99936010238e-05
charge,2,3.99936010238e-05
would,134,0.0026795712686
army,13,0.000259958406655
compensation,2,3.99936010238e-05
foretell,1,1.99968005119e-05
indians,14,0.000279955207167
arms,3,5.99904015358e-05
inevitable,5,9.99840025596e-05
distributing,1,1.99968005119e-05
suit,1,1.99968005119e-05
mediate,1,1.99968005119e-05
come,3,5.99904015358e-05
therefore,26,0.00051991681331
recommend,6,0.000119980803072
indiana,3,5.99904015358e-05
until,15,0.000299952007679
