word,count,relative_use
jackie's,1,5.11535116886e-06
yellow,1,5.11535116886e-06
four,44,0.00022507545143
woods,1,5.11535116886e-06
hanging,1,5.11535116886e-06
self-reliant,2,1.02307023377e-05
deport,1,5.11535116886e-06
aggression,5,2.55767558443e-05
marching,5,2.55767558443e-05
looking,45,0.000230190802599
electricity,5,2.55767558443e-05
alliance-building,1,5.11535116886e-06
unanswered,1,5.11535116886e-06
lord,2,1.02307023377e-05
rational,3,1.53460535066e-05
wracked,1,5.11535116886e-06
franklin's,1,5.11535116886e-06
oceans,7,3.5807458182e-05
politician,1,5.11535116886e-06
avondale,1,5.11535116886e-06
bringing,18,9.20763210394e-05
basics,1,5.11535116886e-06
internally,1,5.11535116886e-06
prize,4,2.04614046754e-05
enlist,1,5.11535116886e-06
piling,1,5.11535116886e-06
wavered,1,5.11535116886e-06
festered,1,5.11535116886e-06
reliable,2,1.02307023377e-05
andra,2,1.02307023377e-05
non-violent,1,5.11535116886e-06
charter,4,2.04614046754e-05
infringed,1,5.11535116886e-06
inevitably,5,2.55767558443e-05
miller,1,5.11535116886e-06
scrapes,1,5.11535116886e-06
elections,12,6.13842140263e-05
tires,2,1.02307023377e-05
elegant,1,5.11535116886e-06
second,53,0.000271113611949
sustaining,2,1.02307023377e-05
maloney,1,5.11535116886e-06
nation-building,3,1.53460535066e-05
errors,2,1.02307023377e-05
forgetting,1,5.11535116886e-06
ruthless,2,1.02307023377e-05
contributed,4,2.04614046754e-05
fingers,4,2.04614046754e-05
bonuses,6,3.06921070131e-05
gabrielle,1,5.11535116886e-06
fossil,6,3.06921070131e-05
resilient,5,2.55767558443e-05
increasing,7,3.5807458182e-05
succumb,1,5.11535116886e-06
hero,1,5.11535116886e-06
avert,2,1.02307023377e-05
atem,1,5.11535116886e-06
here,445,0.00227633127014
reported,2,1.02307023377e-05
china,30,0.000153460535066
hers,1,5.11535116886e-06
borrowers,1,5.11535116886e-06
kids,96,0.00049107371221
deferring,1,5.11535116886e-06
reports,2,1.02307023377e-05
controversy,6,3.06921070131e-05
i'd,20,0.000102307023377
military,89,0.000455266254028
i'm,301,0.00153972070183
catalyzed,1,5.11535116886e-06
diplomat,1,5.11535116886e-06
criticism,2,1.02307023377e-05
golden,4,2.04614046754e-05
divide,3,1.53460535066e-05
replace,13,6.64995651952e-05
brought,31,0.000158575886235
remnant,1,5.11535116886e-06
unit,8,4.09228093509e-05
opponents,8,4.09228093509e-05
derivatives,3,1.53460535066e-05
dna,1,5.11535116886e-06
spoke,20,0.000102307023377
waziristan,1,5.11535116886e-06
