word,count,relative_use
narcotic,1,5.15440005361e-06
four,55,0.000283492002948
woods,3,1.54632001608e-05
hanging,1,5.15440005361e-06
aggression,34,0.000175249601823
marching,2,1.03088001072e-05
looking,29,0.000149477601555
seventy-seven,1,5.15440005361e-06
granting,1,5.15440005361e-06
eligible,3,1.54632001608e-05
electricity,3,1.54632001608e-05
consulate,2,1.03088001072e-05
fingernails,1,5.15440005361e-06
according,3,1.54632001608e-05
lord,8,4.12352004288e-05
whoops,1,5.15440005361e-06
protestants,1,5.15440005361e-06
digit,1,5.15440005361e-06
government-related,1,5.15440005361e-06
regional,25,0.00012886000134
sunlit,2,1.03088001072e-05
aeroflot's,1,5.15440005361e-06
forties,2,1.03088001072e-05
politician,4,2.06176002144e-05
bringing,22,0.000113396801179
``a,2,1.03088001072e-05
basics,7,3.60808003752e-05
prize,3,1.54632001608e-05
wooden,1,5.15440005361e-06
ss-'s,2,1.03088001072e-05
wednesday,5,2.5772000268e-05
``we're,1,5.15440005361e-06
steadfastness,1,5.15440005361e-06
reliable,3,1.54632001608e-05
charter,9,4.63896004825e-05
specially,1,5.15440005361e-06
tired,3,1.54632001608e-05
bacon,1,5.15440005361e-06
holocaust,3,1.54632001608e-05
feasibility,1,5.15440005361e-06
second,57,0.000293800803056
inheritors,1,5.15440005361e-06
charted,2,1.03088001072e-05
selassie,1,5.15440005361e-06
sustaining,1,5.15440005361e-06
available,13,6.70072006969e-05
newsrooms,1,5.15440005361e-06
driven,8,4.12352004288e-05
errors,2,1.03088001072e-05
dialogs,1,5.15440005361e-06
medically,1,5.15440005361e-06
ruthless,2,1.03088001072e-05
thunder,1,5.15440005361e-06
cooking,1,5.15440005361e-06
contributed,3,1.54632001608e-05
decry,1,5.15440005361e-06
communism's,2,1.03088001072e-05
fossil,1,5.15440005361e-06
resilient,1,5.15440005361e-06
butch,6,3.09264003216e-05
increasing,13,6.70072006969e-05
progrowth,1,5.15440005361e-06
misjudged,1,5.15440005361e-06
hero,3,1.54632001608e-05
off-again,1,5.15440005361e-06
reporter,1,5.15440005361e-06
intentioned,1,5.15440005361e-06
fervent,1,5.15440005361e-06
``dovorey,1,5.15440005361e-06
interdependent,1,5.15440005361e-06
here,325,0.00167518001742
atoms,1,5.15440005361e-06
reported,8,4.12352004288e-05
china,10,5.15440005361e-05
hers,2,1.03088001072e-05
affiliated,1,5.15440005361e-06
substance,4,2.06176002144e-05
unwillingness,2,1.03088001072e-05
k,1,5.15440005361e-06
climbed,4,2.06176002144e-05
reports,6,3.09264003216e-05
controversy,3,1.54632001608e-05
i'd,24,0.000123705601287
military,159,0.000819549608523
i'm,186,0.000958718409971
cancellation,2,1.03088001072e-05
diplomat,2,1.03088001072e-05
criticism,2,1.03088001072e-05
golden,10,5.15440005361e-05
divide,2,1.03088001072e-05
principles-substantial,1,5.15440005361e-06
owed,6,3.09264003216e-05
explained,4,2.06176002144e-05
precincts,1,5.15440005361e-06
