word,count,relative_use
h--spirits,2,1.70686329732e-05
narcotic,1,8.53431648659e-06
four,18,0.000153617696759
woods,1,8.53431648659e-06
looking,14,0.000119480430812
granting,7,5.97402154061e-05
electricity,4,3.41372659464e-05
l--silks--which,1,8.53431648659e-06
lord,1,8.53431648659e-06
jaegers,1,8.53431648659e-06
sinking,2,1.70686329732e-05
well-conducted,1,8.53431648659e-06
appropriation,34,0.000290166760544
fur,2,1.70686329732e-05
bringing,9,7.68088483793e-05
disturb,3,2.56029494598e-05
prize,11,9.38774813525e-05
elihu,1,8.53431648659e-06
oooo,1,8.53431648659e-06
hague,21,0.000179220646218
commented,1,8.53431648659e-06
charter,5,4.2671582433e-05
infringed,1,8.53431648659e-06
insular,3,2.56029494598e-05
cordially,1,8.53431648659e-06
feasibility,1,8.53431648659e-06
second,28,0.000238960861625
sustaining,2,1.70686329732e-05
resignations,1,8.53431648659e-06
errors,1,8.53431648659e-06
relieving,1,8.53431648659e-06
ruthless,1,8.53431648659e-06
contributed,3,2.56029494598e-05
increasing,33,0.000281632444058
admiral,10,8.53431648659e-05
inducement,7,5.97402154061e-05
legations,1,8.53431648659e-06
offenses,2,1.70686329732e-05
cattle-transportation,1,8.53431648659e-06
here,33,0.000281632444058
herd,4,3.41372659464e-05
reported,9,7.68088483793e-05
ching,1,8.53431648659e-06
china,44,0.00037550992541
substance,1,8.53431648659e-06
uplifting,1,8.53431648659e-06
unwillingness,1,8.53431648659e-06
elaborate,1,8.53431648659e-06
affairs],1,8.53431648659e-06
reports,14,0.000119480430812
controversy,17,0.000145083380272
faire”,1,8.53431648659e-06
military,38,0.000324304026491
criticism,13,0.000110946114326
appropriately,3,2.56029494598e-05
classification,6,5.12058989196e-05
criticise,1,8.53431648659e-06
explained,1,8.53431648659e-06
'trusts',1,8.53431648659e-06
brought,36,0.000307235393517
beneficiaries,3,2.56029494598e-05
unit,4,3.41372659464e-05
opponents,1,8.53431648659e-06
derivatives,1,8.53431648659e-06
cheating,1,8.53431648659e-06
apportionment,5,4.2671582433e-05
impartiality,5,4.2671582433e-05
inevitable,7,5.97402154061e-05
statesmanship,1,8.53431648659e-06
bays,2,1.70686329732e-05
therefore,58,0.000494990356222
until,38,0.000324304026491
successful,25,0.000213357912165
brings,3,2.56029494598e-05
hereby,1,8.53431648659e-06
officio,1,8.53431648659e-06
hurt,4,3.41372659464e-05
glass,2,1.70686329732e-05
expeditionary,1,8.53431648659e-06
tying,1,8.53431648659e-06
[on,3,2.56029494598e-05
hold,16,0.000136549063785
irksome,1,8.53431648659e-06
pursue,3,2.56029494598e-05
accomplishment,7,5.97402154061e-05
plunged,1,8.53431648659e-06
revenues,23,0.000196289279192
example,5,4.2671582433e-05
unjust,4,3.41372659464e-05
artillery,9,7.68088483793e-05
organized,13,0.000110946114326
currency,37,0.000315769710004
reviewing,1,8.53431648659e-06
want,4,3.41372659464e-05
absolute,13,0.000110946114326
provincial,3,2.56029494598e-05
feature,13,0.000110946114326
machine,2,1.70686329732e-05
how,22,0.000187754962705
significance,3,2.56029494598e-05
preferable,1,8.53431648659e-06
classify,2,1.70686329732e-05
h--wines,1,8.53431648659e-06
beauty,2,1.70686329732e-05
assimilated,2,1.70686329732e-05
clothiers,1,8.53431648659e-06
shores,3,2.56029494598e-05
destined,1,8.53431648659e-06
unselfish,1,8.53431648659e-06
types,1,8.53431648659e-06
effective,51,0.000435250140816
shipowners,1,8.53431648659e-06
glassware-------------------------,1,8.53431648659e-06
signatories,1,8.53431648659e-06
cigarettes,1,8.53431648659e-06
keeps,1,8.53431648659e-06
democratic,2,1.70686329732e-05
wing,1,8.53431648659e-06
restriction,2,1.70686329732e-05
concurrence,3,2.56029494598e-05
govern,2,1.70686329732e-05
experimentally,1,8.53431648659e-06
