word,count,relative_use
limited,3,0.000265064499028
practicability,2,0.000176709666019
brevet,1,8.83548330094e-05
inadequacy,1,8.83548330094e-05
assembles,1,8.83548330094e-05
desirable,1,8.83548330094e-05
needful,1,8.83548330094e-05
advices,3,0.000265064499028
facilities,1,8.83548330094e-05
wholly,1,8.83548330094e-05
integrity,2,0.000176709666019
assembled,2,0.000176709666019
aggression,1,8.83548330094e-05
whose,4,0.000353419332037
effectually,1,8.83548330094e-05
tehuantepec,4,0.000353419332037
presents,1,8.83548330094e-05
under,23,0.00203216115922
dissolution,1,8.83548330094e-05
oceans,5,0.000441774165047
railways,1,8.83548330094e-05
connects,2,0.000176709666019
appropriation,3,0.000265064499028
every,16,0.00141367732815
bringing,1,8.83548330094e-05
vast,2,0.000176709666019
four,1,8.83548330094e-05
disturb,3,0.000265064499028
companies,1,8.83548330094e-05
admissible,1,8.83548330094e-05
extinguishment,1,8.83548330094e-05
enjoy,2,0.000176709666019
charter,1,8.83548330094e-05
force,3,0.000265064499028
estimates,3,0.000265064499028
direct,3,0.000265064499028
likely,1,8.83548330094e-05
even,1,8.83548330094e-05
established,5,0.000441774165047
settlement,1,8.83548330094e-05
deliberate,1,8.83548330094e-05
solemn,1,8.83548330094e-05
panama,7,0.000618483831066
asia,1,8.83548330094e-05
abides,1,8.83548330094e-05
above,3,0.000265064499028
toll,1,8.83548330094e-05
new,31,0.00273899982329
increasing,3,0.000265064499028
ever,3,0.000265064499028
harbors,4,0.000353419332037
deemed,5,0.000441774165047
avert,1,8.83548330094e-05
men,1,8.83548330094e-05
here,2,0.000176709666019
met,1,8.83548330094e-05
protection,16,0.00141367732815
contentions,1,8.83548330094e-05
represented,1,8.83548330094e-05
voice,1,8.83548330094e-05
rests,1,8.83548330094e-05
study,4,0.000353419332037
changed,1,8.83548330094e-05
envoy,3,0.000265064499028
reports,1,8.83548330094e-05
controversy,2,0.000176709666019
california,27,0.00238558049125
suitable,2,0.000176709666019
settled,2,0.000176709666019
punishment,1,8.83548330094e-05
secure,7,0.000618483831066
feelings,3,0.000265064499028
brought,3,0.000265064499028
moral,1,8.83548330094e-05
inculcation,1,8.83548330094e-05
would,23,0.00203216115922
to,480,0.0424103198445
agitation,2,0.000176709666019
arms,1,8.83548330094e-05
mediate,1,8.83548330094e-05
call,1,8.83548330094e-05
therefore,10,0.000883548330094
recommend,21,0.0018554514932
until,4,0.000353419332037
surveyor-general,1,8.83548330094e-05
barbarous,1,8.83548330094e-05
tranquillity,1,8.83548330094e-05
successful,4,0.000353419332037
wars,4,0.000353419332037
actuated,1,8.83548330094e-05
post-office,5,0.000441774165047
berlin,2,0.000176709666019
hold,1,8.83548330094e-05
tariff,1,8.83548330094e-05
circumstances,4,0.000353419332037
abundance,1,8.83548330094e-05
rights,6,0.000530128998056
pursue,1,8.83548330094e-05
work,8,0.000706838664075
entertained,1,8.83548330094e-05
mr,2,0.000176709666019
altering,1,8.83548330094e-05
my,40,0.00353419332037
route,3,0.000265064499028
defer,1,8.83548330094e-05
indicated,1,8.83548330094e-05
give,7,0.000618483831066
unjust,1,8.83548330094e-05
organized,2,0.000176709666019
impair,1,8.83548330094e-05
kingdoms,1,8.83548330094e-05
want,2,0.000176709666019
times,1,8.83548330094e-05
advancing,1,8.83548330094e-05
absolute,1,8.83548330094e-05
legislate,1,8.83548330094e-05
end,3,0.000265064499028
elicited,1,8.83548330094e-05
inhabitants,3,0.000265064499028
topographical,1,8.83548330094e-05
far,5,0.000441774165047
