word,count,relative_use
limited,5,0.000135733094443
raining,1,2.71466188886e-05
resist,6,0.000162879713332
fair-dealing,1,2.71466188886e-05
four,12,0.000325759426663
facilities,1,2.71466188886e-05
thirst,1,2.71466188886e-05
commitments--apart,1,2.71466188886e-05
kassel,1,2.71466188886e-05
saved,3,8.14398566659e-05
aggression,26,0.000705812091104
consider,1,2.71466188886e-05
whose,7,0.00019002633222
votes,1,2.71466188886e-05
scholastic,1,2.71466188886e-05
violate,1,2.71466188886e-05
electricity,1,2.71466188886e-05
parliament,1,2.71466188886e-05
spes,1,2.71466188886e-05
abundance,2,5.42932377772e-05
invaders,1,2.71466188886e-05
voted,10,0.000271466188886
under,34,0.000922985042213
lord,2,5.42932377772e-05
slowest,1,2.71466188886e-05
pride,2,5.42932377772e-05
holier-than-thou,1,2.71466188886e-05
worth,7,0.00019002633222
merchant,3,8.14398566659e-05
plants,5,0.000135733094443
risk,2,5.42932377772e-05
communique,1,2.71466188886e-05
void,1,2.71466188886e-05
oceans,3,8.14398566659e-05
railways,1,2.71466188886e-05
misunderstanding,1,2.71466188886e-05
reorganize,1,2.71466188886e-05
appropriation,1,2.71466188886e-05
every,41,0.00111301137443
leisurely,1,2.71466188886e-05
govern,3,8.14398566659e-05
uncertain,2,5.42932377772e-05
bringing,4,0.000108586475554
vast,3,8.14398566659e-05
believed,2,5.42932377772e-05
school,8,0.000217172951109
pooled,1,2.71466188886e-05
slowed,1,2.71466188886e-05
postponing,1,2.71466188886e-05
skills,2,5.42932377772e-05
supports,2,5.42932377772e-05
advocating,1,2.71466188886e-05
solution,3,8.14398566659e-05
herbert,1,2.71466188886e-05
red,3,8.14398566659e-05
guiding,3,8.14398566659e-05
succession,1,2.71466188886e-05
employees,2,5.42932377772e-05
shows,4,0.000108586475554
triumph,3,8.14398566659e-05
clothes,1,2.71466188886e-05
enjoy,4,0.000108586475554
charter,5,0.000135733094443
expanded,1,2.71466188886e-05
force,21,0.000570078996661
leaders,5,0.000135733094443
tired,1,2.71466188886e-05
consistent,2,5.42932377772e-05
japanese,15,0.000407199283329
now--even,1,2.71466188886e-05
disciplined,1,2.71466188886e-05
second,10,0.000271466188886
street,4,0.000108586475554
valiant,1,2.71466188886e-05
infiltration,1,2.71466188886e-05
available,7,0.00019002633222
friendships,2,5.42932377772e-05
machines,1,2.71466188886e-05
hopelessly,1,2.71466188886e-05
even,24,0.000651518853327
established,3,8.14398566659e-05
errors,1,2.71466188886e-05
solemn,1,2.71466188886e-05
religious,1,2.71466188886e-05
meals,1,2.71466188886e-05
beaten,5,0.000135733094443
contributed,2,5.42932377772e-05
liberty,14,0.000380052664441
reasoning,1,2.71466188886e-05
liberated,2,5.42932377772e-05
townsmen,1,2.71466188886e-05
above,5,0.000135733094443
toll,1,2.71466188886e-05
new,59,0.00160165051443
poorly,1,2.71466188886e-05
ever,29,0.00078725194777
admiral,3,8.14398566659e-05
told,17,0.000461492521106
agreement,19,0.000515785758884
maintains,2,5.42932377772e-05
avert,1,2.71466188886e-05
never,36,0.00097727827999
equals,1,2.71466188886e-05
here,32,0.000868691804436
hundreds,4,0.000108586475554
met,17,0.000461492521106
protection,9,0.000244319569998
china,6,0.000162879713332
pursuit,1,2.71466188886e-05
humility,2,5.42932377772e-05
represented,1,2.71466188886e-05
path,2,5.42932377772e-05
spies,2,5.42932377772e-05
servant--and,1,2.71466188886e-05
guadalcanal,2,5.42932377772e-05
celebration,1,2.71466188886e-05
obtained,1,2.71466188886e-05
hell,2,5.42932377772e-05
generals,1,2.71466188886e-05
crystal,1,2.71466188886e-05
flatlands,1,2.71466188886e-05
study,9,0.000244319569998
changed,2,5.42932377772e-05
approaches,2,5.42932377772e-05
reports,2,5.42932377772e-05
adopt,1,2.71466188886e-05
ancestry,1,2.71466188886e-05
smoke,1,2.71466188886e-05
permit,5,0.000135733094443
military,28,0.000760105328881
i'm,5,0.000135733094443
settled,3,8.14398566659e-05
midway,2,5.42932377772e-05
hushed,1,2.71466188886e-05
joshua,1,2.71466188886e-05
golden,2,5.42932377772e-05
fantastic,1,2.71466188886e-05
divide,3,8.14398566659e-05
campaign,10,0.000271466188886
inexhaustible,1,2.71466188886e-05
explained,1,2.71466188886e-05
highly,2,5.42932377772e-05
brought,10,0.000271466188886
patience,4,0.000108586475554
moral,5,0.000135733094443
guests,3,8.14398566659e-05
