word,count,relative_use
four,11,0.000159132007233
woods,5,7.23327305606e-05
aegis,1,1.44665461121e-05
aggression,1,1.44665461121e-05
looking,4,5.78661844485e-05
granting,2,2.89330922242e-05
johnson's,1,1.44665461121e-05
lord,3,4.33996383363e-05
sinking,1,1.44665461121e-05
appropriation,12,0.000173598553345
uncongenial,1,1.44665461121e-05
bringing,6,8.67992766727e-05
disturb,5,7.23327305606e-05
uttering,1,1.44665461121e-05
turpitude,1,1.44665461121e-05
overaction,1,1.44665461121e-05
immunities,2,2.89330922242e-05
straight,5,7.23327305606e-05
charter,18,0.000260397830018
cordially,2,2.89330922242e-05
second,10,0.000144665461121
sustaining,2,2.89330922242e-05
errors,2,2.89330922242e-05
relieving,1,1.44665461121e-05
contributed,2,2.89330922242e-05
designing,2,2.89330922242e-05
increasing,9,0.000130198915009
inducement,4,5.78661844485e-05
avert,1,1.44665461121e-05
dorr,4,5.78661844485e-05
here,5,7.23327305606e-05
reported,2,2.89330922242e-05
china,13,0.000188065099458
hers,1,1.44665461121e-05
pretensions,2,2.89330922242e-05
reports,4,5.78661844485e-05
controversy,6,8.67992766727e-05
military,25,0.000361663652803
topography,2,2.89330922242e-05
divide,3,4.33996383363e-05
explained,1,1.44665461121e-05
brought,22,0.000318264014467
debased,1,1.44665461121e-05
cherishing,1,1.44665461121e-05
insecurity,1,1.44665461121e-05
panoply,1,1.44665461121e-05
therefore,48,0.000694394213382
until,23,0.000332730560579
relax,1,1.44665461121e-05
successful,6,8.67992766727e-05
hereby,1,1.44665461121e-05
coextensive,1,1.44665461121e-05
hold,7,0.000101265822785
circumstances,40,0.000578661844485
fifth},1,1.44665461121e-05
accomplishment,5,7.23327305606e-05
revenues,11,0.000159132007233
example,10,0.000144665461121
unjust,9,0.000130198915009
organized,1,1.44665461121e-05
currency,33,0.0004773960217
caution,1,1.44665461121e-05
british,57,0.000824593128391
want,9,0.000130198915009
absolute,5,7.23327305606e-05
hog,2,2.89330922242e-05
